Date,Open,High,Low,Close,Volume
2023-01-13,26.44,26.939,26.13,26.57,786200
2023-01-17,26.57,26.665,26.05,26.22,551500
2023-01-18,26.14,26.89,26.09,26.19,934600
2023-01-19,26.05,26.97,25.87,26.9,855900
2023-01-20,27.09,27.625,26.41,27.59,857900
2023-01-23,27.65,29.2,27.5,29.16,1003600
2023-01-24,29.26,30.74,29.095,30.38,1047900
2023-01-25,28.035,30.88,28.03,30.84,1225600
2023-01-26,31.07,31.24,29.055,29.99,900900
2023-01-27,30.0,31.55,29.905,30.85,767900
2023-01-30,30.71,30.85,29.02,29.08,915200
2023-01-31,28.89,29.77,28.7,29.55,798100
2023-02-01,29.39,29.53,28.5,29.16,740300
2023-02-02,29.34,29.99,29.121,29.91,694700
2023-02-03,29.91,30.95,29.35,30.14,859700
2023-02-06,29.89,30.24,29.51,29.8,500800
2023-02-07,29.6,29.745,28.84,29.45,814400
2023-02-08,29.05,29.05,27.04,27.07,940900
2023-02-09,27.22,27.38,25.97,26.23,1110800
2023-02-10,26.21,26.39,25.76,26.15,758900
2023-02-13,25.99,26.29,25.31,26.18,770000
2023-02-14,25.98,26.99,25.72,26.63,983600
2023-02-15,26.3,26.86,26.3,26.72,670400
2023-02-16,26.28,26.36,25.26,25.57,832400
2023-02-17,25.59,25.76,24.9,25.74,914600
2023-02-21,28.94,29.17,26.9,26.99,3000700
2023-02-22,27.0,28.07,26.62,27.01,1110700
2023-02-23,27.23,27.23,25.54,25.81,1263500
2023-02-24,24.2,24.22,22.02,22.995,3139300
2023-02-27,22.75,23.75,22.43,23.07,1167600
2023-02-28,22.85,23.1,22.4,22.8,1690100
2023-03-01,22.69,23.107,22.42,22.6,874600
2023-03-02,22.38,22.7,22.12,22.61,758200
2023-03-03,22.82,23.3,22.73,22.84,858300
2023-03-06,24.45,24.45,22.86,23.09,1528200
2023-03-07,22.88,23.19,22.09,22.79,1154400
2023-03-08,22.74,22.94,22.081,22.66,1254600
2023-03-09,22.71,23.22,22.58,23.0,1232200
2023-03-10,23.1,23.23,22.2,22.61,1541700
2023-03-13,22.36,22.96,22.11,22.55,1312100
2023-03-14,23.0,23.83,22.78,23.52,1002100
2023-03-15,23.27,23.82,22.8,23.52,963000
2023-03-16,23.52,24.26,23.16,24.18,1099900
2023-03-17,24.11,24.41,23.42,23.67,3299300
2023-03-20,23.85,24.45,23.4,23.76,1227500
2023-03-21,23.86,23.955,22.97,23.03,990600
2023-03-22,23.0,23.05,22.29,22.34,1127900
2023-03-23,22.57,22.93,22.03,22.26,928700
2023-03-24,22.15,22.751,22.01,22.49,830200
2023-03-27,22.52,23.13,22.39,23.01,717900
2023-03-28,22.88,22.995,22.33,22.6,631300
2023-03-29,22.87,22.99,22.59,22.72,742500
2023-03-30,22.77,23.04,22.6,23.0,896400
2023-03-31,23.08,23.355,22.88,23.27,825700
2023-04-03,23.135,23.318,23.01,23.28,915100
2023-04-04,23.33,23.39,23.0,23.31,1221700
2023-04-05,23.27,23.62,22.87,23.2,681100
2023-04-06,23.31,24.24,23.08,23.91,662400
2023-04-10,23.81,23.87,23.46,23.75,701800
2023-04-11,23.69,23.99,23.44,23.51,576900
2023-04-12,23.78,23.86,23.46,23.69,687200
2023-04-13,23.8,25.04,23.75,24.75,934400
2023-04-14,24.75,25.2,24.48,24.55,851300
2023-04-17,24.72,25.08,24.51,25.02,754500
2023-04-18,25.25,25.279,24.71,25.0,965400
2023-04-19,24.93,25.24,24.56,25.1,575800
2023-04-20,24.92,25.08,24.67,24.76,558500
2023-04-21,24.88,26.14,24.76,25.98,1604200
2023-04-24,25.88,25.88,25.195,25.4,612700
2023-04-25,25.32,25.39,24.81,24.94,623200
2023-04-26,24.75,25.0,24.22,24.45,553500
2023-04-27,24.32,24.66,24.17,24.49,543600
2023-04-28,24.4,25.25,24.31,25.15,733200
2023-05-01,24.96,25.35,24.92,25.16,551600
2023-05-02,25.01,25.14,24.0,24.62,868700
2023-05-03,24.73,25.95,24.7,25.39,1164400
