Date,Open,High,Low,Close,Volume
2023-01-13,21.63,21.93,21.565,21.86,1768700
2023-01-17,21.8,21.89,21.43,21.52,758100
2023-01-18,21.63,21.825,21.445,21.56,883800
2023-01-19,21.3,21.34,21.025,21.13,614400
2023-01-20,21.24,21.68,20.98,21.63,449400
2023-01-23,21.82,22.17,21.76,22.07,592200
2023-01-24,21.74,22.13,21.74,21.81,498700
2023-01-25,21.53,21.87,21.44,21.79,560500
2023-01-26,22.0,22.1,21.595,22.0,648400
2023-01-27,21.85,22.4,21.84,22.35,869800
2023-01-30,22.05,22.54,22.05,22.49,983500
2023-01-31,22.6,23.03,22.38,23.03,1177000
2023-02-01,22.93,23.72,22.68,23.57,1366300
2023-02-02,23.84,24.385,23.8,24.14,931400
2023-02-03,23.8,24.22,23.68,23.86,648300
2023-02-06,23.55,23.64,23.33,23.49,569800
2023-02-07,23.36,23.69,23.16,23.65,452100
2023-02-08,23.38,23.53,23.23,23.42,492000
2023-02-09,23.65,23.7,22.99,23.11,854500
2023-02-10,22.81,23.15,22.81,23.14,540400
2023-02-13,23.14,23.46,22.91,23.42,671900
2023-02-14,23.28,23.695,23.09,23.48,724900
2023-02-15,23.21,23.84,23.13,23.79,1107300
2023-02-16,24.5,26.38,24.25,26.08,2082300
2023-02-17,25.85,26.17,25.54,26.12,1105300
2023-02-21,25.82,26.09,25.32,25.52,1033100
2023-02-22,25.54,25.84,25.43,25.68,1238000
2023-02-23,25.8,25.91,25.35,25.86,1083900
2023-02-24,25.54,26.005,25.06,25.91,882600
2023-02-27,26.26,26.321,25.745,25.98,1050800
2023-02-28,25.94,26.48,25.94,26.17,1884800
2023-03-01,26.09,26.76,25.96,26.72,830000
2023-03-02,26.53,26.92,26.515,26.9,823300
2023-03-03,26.98,27.56,26.82,27.51,1290200
2023-03-06,27.5,27.7,27.145,27.2,1392200
2023-03-07,27.13,27.415,26.65,26.75,1316100
2023-03-08,26.9,27.095,26.71,27.02,1089800
2023-03-09,27.03,27.26,26.54,26.6,879300
2023-03-10,26.58,26.58,25.48,25.65,881300
2023-03-13,25.31,25.47,24.65,24.8,1484300
2023-03-14,25.44,26.17,25.2,25.81,1356600
2023-03-15,25.2,25.505,24.785,25.38,1333100
2023-03-16,25.09,25.92,25.09,25.74,787100
2023-03-17,25.8,25.94,25.12,25.24,1820000
2023-03-20,25.42,26.07,25.405,25.68,1134900
2023-03-21,26.15,26.39,25.66,25.96,1701500
2023-03-22,25.9,26.03,25.33,25.35,1251600
2023-03-23,25.46,26.14,25.25,25.52,1091300
2023-03-24,25.36,25.63,25.055,25.54,846800
2023-03-27,25.9,26.3,25.51,25.88,1699000
2023-03-28,25.88,26.13,25.75,25.87,935200
2023-03-29,26.2,26.51,26.07,26.27,925300
2023-03-30,26.35,26.89,26.32,26.81,1025100
2023-03-31,26.91,27.39,26.87,27.34,883000
2023-04-03,27.28,27.45,26.82,27.22,761800
2023-04-04,27.3,27.41,26.295,26.42,721000
2023-04-05,26.23,26.285,25.52,25.83,1578800
2023-04-06,25.9,25.99,25.49,25.68,946300
2023-04-10,25.52,26.22,25.475,26.21,1119500
2023-04-11,26.38,26.58,26.14,26.29,812600
2023-04-12,26.48,26.696,26.295,26.61,1052800
2023-04-13,26.81,27.03,26.455,26.86,778400
2023-04-14,27.05,27.435,26.905,26.96,758700
2023-04-17,26.84,27.11,26.76,27.06,508300
2023-04-18,27.15,27.44,27.07,27.27,675600
2023-04-19,26.99,27.35,26.87,27.17,1129700
2023-04-20,26.89,27.42,26.87,27.26,619900
2023-04-21,27.21,27.425,27.08,27.41,628900
2023-04-24,27.41,27.81,27.28,27.46,1093700
2023-04-25,27.14,27.29,26.38,26.63,2374600
2023-04-26,26.47,26.82,26.23,26.41,585700
2023-04-27,26.6,26.94,26.28,26.94,695700
2023-04-28,27.0,27.24,26.8,27.13,500600
2023-05-01,27.1,27.585,27.015,27.38,808700
2023-05-02,27.14,27.455,26.69,27.12,853500
2023-05-03,27.13,27.46,26.65,26.69,1022200
2023-05-04,27.22,28.0,26.79,27.41,1317200
2023-05-05,27.85,27.96,27.522,27.79,822700
2023-05-08,27.89,28.0,27.1,27.52,1032100
2023-05-09,27.32,27.819,27.21,27.71,930600
2023-05-10,28.0,28.19,27.51,27.68,1042100
