Date,Open,High,Low,Close,Volume
2023-01-13,67.55,68.58,67.06,68.56,1180600
2023-01-17,68.58,69.04,67.68,68.83,1359800
2023-01-18,69.02,69.47,66.72,66.78,2073700
2023-01-19,65.91,66.72,65.66,65.98,1498200
2023-01-20,66.17,67.98,65.8,67.96,1332200
2023-01-23,67.78,68.56,67.38,68.53,1177900
2023-01-24,67.89,68.96,67.0,68.33,754100
2023-01-25,67.73,68.72,67.51,68.72,789400
2023-01-26,68.92,70.54,68.83,70.45,1930200
2023-01-27,70.18,70.47,69.43,69.74,1280400
2023-01-30,69.26,69.54,68.75,68.79,1285600
2023-01-31,68.79,69.78,67.96,69.77,1532900
2023-02-01,69.14,70.51,68.95,70.16,1365900
2023-02-02,70.49,70.72,69.04,69.38,1488100
2023-02-03,68.65,70.16,68.65,69.39,2006400
2023-02-06,68.91,69.27,67.95,68.0,1600700
2023-02-07,67.5,68.94,67.27,68.72,1428300
2023-02-08,72.5,76.11,71.9,74.8,5555500
2023-02-09,75.0,75.18,73.15,73.47,2333300
2023-02-10,73.26,74.48,73.26,74.08,1583200
2023-02-13,74.55,76.59,74.55,76.28,2224600
2023-02-14,76.0,77.07,75.91,76.79,1603100
2023-02-15,76.53,77.1,76.27,76.74,1766000
2023-02-16,76.5,78.11,76.26,77.05,1809700
2023-02-17,76.88,77.4,76.59,76.99,799800
2023-02-21,75.98,76.49,74.18,74.44,1029200
2023-02-22,74.1,74.46,72.94,73.34,1286800
2023-02-23,73.47,74.6,73.18,73.81,1124600
2023-02-24,73.38,73.97,72.74,73.59,1302500
2023-02-27,74.33,74.5,73.8,74.03,1286900
2023-02-28,74.09,75.07,73.77,74.49,1212400
2023-03-01,74.2,76.38,74.19,76.26,2472400
2023-03-02,75.57,75.68,74.4,75.06,2246700
2023-03-03,75.22,75.99,74.65,75.96,1325600
2023-03-06,75.83,75.95,74.15,74.96,2084300
2023-03-07,75.44,75.69,73.7,73.91,1003100
2023-03-08,73.96,74.79,73.52,74.13,1521000
2023-03-09,73.97,74.6,71.97,72.35,2497100
2023-03-10,71.58,71.61,68.75,68.92,3583800
2023-03-13,66.54,66.93,64.65,65.83,4237400
2023-03-14,67.92,68.49,66.55,67.96,3650600
2023-03-15,65.72,66.45,63.8,64.98,4275900
2023-03-16,64.25,66.27,63.52,66.15,2678000
2023-03-17,65.5,65.79,62.79,63.1,7810800
2023-03-20,63.72,65.7,63.46,65.38,2193900
2023-03-21,67.48,68.2,66.82,67.87,2643600
2023-03-22,67.53,68.21,66.32,66.34,2382300
2023-03-23,66.49,67.83,66.41,67.13,2283300
2023-03-24,65.86,67.72,65.84,67.64,2065300
2023-03-27,69.0,69.34,67.63,68.02,2683400
2023-03-28,67.82,68.94,67.53,68.79,1624200
2023-03-29,69.53,70.16,69.08,70.12,2174600
2023-03-30,70.7,71.28,69.77,70.21,1315300
2023-03-31,70.7,71.47,70.25,71.46,1516100
2023-04-03,71.31,72.51,70.91,71.29,1686700
2023-04-04,71.79,72.0,70.77,71.54,3266300
2023-04-05,70.68,71.57,70.19,71.0,1596900
2023-04-06,71.09,71.99,70.94,71.02,1503000
2023-04-10,70.81,71.95,70.71,71.72,992700
2023-04-11,71.81,73.41,71.7,72.93,1874400
2023-04-12,73.44,74.18,72.68,73.76,1508200
2023-04-13,74.05,74.41,73.44,74.09,1558400
2023-04-14,74.72,75.2,74.41,74.74,1246000
2023-04-17,74.25,75.76,74.08,75.74,1719300
2023-04-18,76.01,76.98,75.69,76.89,1845700
2023-04-19,76.86,77.78,76.58,77.55,1739900
