Date,Open,High,Low,Close,Volume
2023-01-13,22.5,22.98,22.42,22.96,602800
2023-01-17,22.96,23.09,22.73,22.86,697800
2023-01-18,22.92,22.97,22.29,22.33,769700
2023-01-19,22.2,22.24,21.64,21.92,717800
2023-01-20,22.1,22.18,21.79,22.18,627700
2023-01-23,22.26,22.73,22.26,22.59,471700
2023-01-24,22.62,22.97,22.36,22.92,654100
2023-01-25,22.58,22.96,22.48,22.94,823800
2023-01-26,22.97,23.1,22.65,23.04,516200
2023-01-27,22.84,23.06,22.73,22.79,410500
2023-01-30,22.53,22.79,22.47,22.55,461500
2023-01-31,22.55,22.91,22.48,22.89,1155300
2023-02-01,22.92,23.69,22.8,23.47,823300
2023-02-02,23.61,24.39,23.53,24.28,1576700
2023-02-03,23.98,24.48,23.98,24.22,1458000
2023-02-06,23.89,24.02,23.75,23.91,822100
2023-02-07,23.79,24.17,23.62,24.02,1034400
2023-02-08,23.17,23.24,20.69,21.09,2954100
2023-02-09,21.25,21.5,20.82,20.84,2104800
2023-02-10,20.68,20.84,20.51,20.77,1138800
2023-02-13,20.73,21.02,20.68,20.98,965300
2023-02-14,20.8,21.09,20.58,21.01,1117200
2023-02-15,20.82,21.6,20.82,21.59,1151300
2023-02-16,21.36,21.71,21.27,21.58,1305400
2023-02-17,21.56,21.67,21.26,21.39,1053900
2023-02-21,21.08,21.25,20.93,20.95,1446000
2023-02-22,20.87,21.23,20.86,21.13,1158700
2023-02-23,21.42,21.58,21.0,21.25,806100
2023-02-24,20.96,21.18,20.86,21.13,575400
2023-02-27,21.39,21.53,21.19,21.27,586900
2023-02-28,21.22,21.39,21.15,21.23,1089800
2023-03-01,21.26,21.6,21.23,21.44,595900
2023-03-02,21.27,21.7,21.17,21.64,523500
2023-03-03,21.75,21.76,21.54,21.72,697400
2023-03-06,21.85,21.85,21.38,21.5,790000
2023-03-07,21.5,21.55,21.21,21.29,587100
2023-03-08,21.46,21.77,21.42,21.76,625800
2023-03-09,21.71,22.02,21.56,21.62,829200
2023-03-10,21.7,21.77,21.17,21.41,737800
2023-03-13,21.07,21.56,21.07,21.24,1167200
2023-03-14,21.7,22.24,21.53,21.98,892300
2023-03-15,21.48,21.48,20.91,21.26,1711900
2023-03-16,20.92,21.79,20.82,21.62,1149800
2023-03-17,21.62,21.62,20.87,21.0,3125000
2023-03-20,21.18,21.72,20.98,21.51,814800
2023-03-21,21.81,21.99,21.37,21.56,856700
2023-03-22,21.53,21.96,21.39,21.39,921600
2023-03-23,21.62,22.02,21.35,21.59,628900
2023-03-24,21.41,21.81,21.32,21.67,1519800
2023-03-27,21.79,22.21,21.75,21.92,1077500
2023-03-28,21.75,21.89,21.36,21.8,1011500
2023-03-29,21.99,22.14,21.83,22.03,609300
2023-03-30,22.23,22.41,22.16,22.27,609600
2023-03-31,22.23,22.64,22.21,22.62,705800
2023-04-03,22.55,22.69,22.16,22.33,759500
2023-04-04,22.34,22.43,21.53,21.66,810700
2023-04-05,21.48,21.59,21.42,21.52,619900
2023-04-06,21.45,21.52,21.34,21.38,705100
2023-04-10,21.41,21.81,21.4,21.79,791000
2023-04-11,21.94,22.05,21.61,21.64,895600
2023-04-12,21.83,21.83,21.49,21.53,502800
2023-04-13,21.57,21.92,21.41,21.84,867500
2023-04-14,21.72,21.9,21.46,21.64,552100
2023-04-17,21.5,21.75,21.44,21.72,695700
2023-04-18,21.82,21.91,21.36,21.53,596900
2023-04-19,21.33,21.36,21.16,21.27,683700
2023-04-20,21.04,21.36,20.88,21.24,812700
2023-04-21,21.2,21.27,20.98,21.25,597900
2023-04-24,21.16,21.33,20.99,21.0,1447300
2023-04-25,20.91,20.94,20.63,20.87,1545400
2023-04-26,20.72,20.95,20.64,20.87,1039000
2023-04-27,20.82,21.23,20.57,21.22,861900
2023-04-28,21.19,21.38,21.17,21.29,692400
2023-05-01,21.33,21.61,21.28,21.31,646300
2023-05-02,21.24,21.54,20.91,21.15,851500
2023-05-03,21.23,21.64,21.05,21.24,973800
2023-05-04,21.08,21.15,20.82,21.03,909600
2023-05-05,21.16,21.67,21.16,21.54,1369900
2023-05-08,21.62,21.85,21.41,21.5,984000
2023-05-09,21.31,21.38,21.05,21.15,1203300
2023-05-10,23.0,24.84,22.64,24.7,3790100
2023-05-11,24.57,24.86,24.07,24.39,2387000
2023-05-12,24.54,24.54,23.9,24.1,2132300
2023-05-15,24.3,24.48,23.92,24.3,1151600
2023-05-16,24.15,24.66,24.06,24.37,797900
2023-05-17,24.6,24.97,24.34,24.96,1108000
2023-05-18,25.0,25.42,24.86,25.39,932900
2023-05-19,25.61,25.68,25.09,25.38,978100
