Date,Open,High,Low,Close,Volume
2023-01-13,43.28,43.53,42.97,43.16,330700
2023-01-17,44.35,45.0,43.41,44.22,1471400
2023-01-18,44.29,46.07,44.21,45.03,1104400
2023-01-19,44.9,45.17,43.85,44.49,620600
2023-01-20,44.88,45.12,44.12,45.11,395000
2023-01-23,45.29,46.51,44.37,45.96,820600
2023-01-24,45.79,46.08,45.5,45.77,293200
2023-01-25,45.54,46.19,45.01,46.19,632000
2023-01-26,46.29,46.66,45.27,45.81,470400
2023-01-27,45.55,48.28,45.55,47.41,971500
2023-01-30,46.95,47.3,45.8,46.08,656700
2023-01-31,46.07,47.04,45.51,46.97,674000
2023-02-01,47.1,48.66,46.99,48.43,536900
2023-02-02,48.65,50.31,48.62,49.45,1014100
2023-02-03,48.92,49.5,48.63,48.73,454900
2023-02-06,48.93,49.91,48.2,48.51,533900
2023-02-07,48.48,49.31,48.37,49.13,645300
2023-02-08,49.79,49.79,47.13,47.9,937400
2023-02-09,48.22,48.97,46.71,46.84,603400
2023-02-10,46.67,47.1,46.36,46.53,444200
2023-02-13,46.36,46.75,46.14,46.73,485100
2023-02-14,46.54,47.28,46.05,47.18,550300
2023-02-15,46.89,47.25,46.63,47.05,309800
2023-02-16,46.35,47.11,46.0,46.75,330600
2023-02-17,46.85,47.12,46.35,47.08,513800
2023-02-21,46.61,46.83,46.14,46.35,583800
2023-02-22,46.53,47.08,46.35,46.52,712300
2023-02-23,46.69,47.11,46.22,46.97,401700
2023-02-24,46.43,47.02,45.94,46.81,501800
2023-02-27,47.16,47.49,46.67,46.72,355900
2023-02-28,46.79,47.14,46.42,46.45,538800
2023-03-01,46.23,46.8,46.11,46.27,609100
2023-03-02,46.04,47.37,45.54,47.08,655800
2023-03-03,47.17,47.48,46.71,47.31,655800
2023-03-06,46.16,47.72,46.16,46.93,368300
2023-03-07,46.95,47.44,46.55,47.01,442200
2023-03-08,46.94,47.22,46.52,47.1,283300
2023-03-09,47.42,47.55,46.51,46.55,321000
2023-03-10,46.39,46.4,45.26,45.45,539100
2023-03-13,44.49,44.94,43.79,44.18,477200
2023-03-14,45.34,45.41,43.14,43.88,524300
2023-03-15,43.19,44.46,42.95,44.1,523300
2023-03-16,43.62,44.98,43.62,44.67,431200
2023-03-17,44.76,44.85,42.85,43.09,967000
2023-03-20,43.32,43.57,42.52,42.92,520400
2023-03-21,43.6,44.37,43.41,43.69,605700
2023-03-22,43.55,44.32,43.06,43.07,399700
2023-03-23,43.12,43.64,42.28,42.3,647400
2023-03-24,42.14,42.58,41.6,42.37,374500
2023-03-27,42.86,43.33,42.53,43.31,599800
2023-03-28,43.1,43.98,43.1,43.88,481700
2023-03-29,44.03,44.08,43.47,43.97,498800
2023-03-30,44.12,44.25,43.85,43.89,455600
2023-03-31,44.0,45.56,43.39,45.49,775200
2023-04-03,45.3,45.56,44.27,45.03,500700
2023-04-04,45.02,45.37,43.9,44.08,465500
2023-04-05,43.78,44.32,43.6,44.31,556600
2023-04-06,44.46,44.62,44.16,44.41,348200
2023-04-10,44.0,45.79,43.87,45.73,623100
2023-04-11,46.03,46.69,45.97,46.55,609500
2023-04-12,46.75,47.1,46.52,46.89,660600
2023-04-13,46.92,47.11,46.15,46.72,965600
2023-04-14,46.34,47.2,46.11,47.08,613800
2023-04-17,46.98,47.06,45.62,45.85,624500
2023-04-18,45.88,46.77,45.1,46.44,576600
2023-04-19,46.31,46.68,44.9,46.55,487300
2023-04-20,46.39,47.13,46.39,46.62,644500
2023-04-21,46.62,47.11,45.88,46.51,491300
2023-04-24,46.58,46.85,46.19,46.55,373300
2023-04-25,46.02,46.02,44.73,45.12,502100
2023-04-26,44.52,44.67,43.39,43.51,481300
2023-04-27,43.78,44.81,43.6,44.55,467600
2023-04-28,44.68,45.69,44.61,45.17,561100
2023-05-01,44.89,46.44,44.89,46.21,444300
2023-05-02,46.0,46.2,45.07,46.07,443800
2023-05-03,46.07,47.02,45.88,46.16,646400
2023-05-04,45.51,46.42,43.93,45.53,1077300
2023-05-05,45.62,46.43,45.43,46.33,705800
2023-05-08,46.5,46.92,45.42,45.57,511600
2023-05-09,45.36,45.36,44.27,45.03,525500
2023-05-10,45.56,45.83,44.56,44.92,471300
2023-05-11,44.74,46.04,44.23,44.76,539400
2023-05-12,45.24,45.65,45.0,45.56,716700
2023-05-15,45.72,45.72,45.1,45.14,423100
2023-05-16,44.92,44.92,43.96,44.17,454200
2023-05-17,43.28,44.82,43.28,44.77,680400
2023-05-18,44.72,45.1,44.06,44.64,575100
2023-05-19,45.01,45.01,43.64,44.46,739000
2023-05-22,44.82,44.99,43.86,44.55,604200
2023-05-23,44.58,45.31,44.27,45.02,383700
2023-05-24,44.81,44.81,43.75,44.24,585300
2023-05-25,44.0,45.16,44.0,45.03,376300
2023-05-26,44.89,45.26,44.22,44.74,485200
2023-05-30,44.73,45.37,44.56,45.22,364300
2023-05-31,45.12,45.12,43.9,43.92,522200
2023-06-01,43.85,44.63,43.3,44.31,541000
2023-06-02,44.66,45.09,44.02,44.58,948600
2023-06-05,44.35,44.35,42.89,43.01,772300
2023-06-06,42.75,44.26,42.58,43.99,1146000
2023-06-07,44.19,45.58,43.94,45.39,705800
2023-06-08,45.32,45.43,44.53,44.85,418500
2023-06-09,44.73,45.22,43.64,43.75,508200
2023-06-12,43.74,43.74,43.03,43.6,614800
2023-06-13,43.75,44.06,43.38,43.47,618200
2023-06-14,43.47,44.55,43.45,43.79,700800
2023-06-15,43.56,44.51,43.56,44.45,619400
2023-06-16,44.73,44.73,43.25,44.33,1046500
2023-06-20,44.19,44.19,43.39,43.48,562000
2023-06-21,43.25,43.91,43.01,43.9,486300
2023-06-22,43.83,44.17,43.58,43.96,399000
2023-06-23,43.58,44.24,43.42,43.68,576400
2023-06-26,43.67,44.28,43.67,43.93,464300
2023-06-27,43.97,45.39,43.88,44.62,447000
2023-06-28,44.63,44.65,43.99,44.17,488000
2023-06-29,44.17,44.95,44.15,44.65,408800
2023-06-30,44.65,44.79,43.8,44.18,520100
2023-07-03,43.91,44.76,43.91,44.44,161000
2023-07-05,43.76,44.33,43.37,43.49,544700
2023-07-06,43.17,43.67,42.96,43.59,561500
2023-07-07,43.58,44.06,43.26,43.32,665700
2023-07-10,43.25,43.85,43.12,43.5,674800
2023-07-11,43.51,44.11,43.51,43.97,498600
2023-07-12,44.26,44.69,43.63,43.97,1232900
2023-07-13,43.97,44.07,43.28,43.43,693400
2023-07-14,43.5,43.67,43.05,43.32,454400
2023-07-17,43.19,43.24,42.45,42.57,513800
2023-07-18,42.94,44.05,42.8,43.15,1004600
2023-07-19,43.31,44.64,43.31,44.46,1404200
2023-07-20,44.58,45.55,44.12,45.12,1253000
2023-07-21,45.02,45.95,44.86,45.46,1070700
2023-07-24,44.9,46.01,44.9,45.96,763900
2023-07-25,45.77,46.14,45.62,45.72,445800
2023-07-26,45.95,46.8,45.74,46.7,557600
2023-07-27,46.91,46.93,45.81,46.1,676000
2023-07-28,46.38,47.27,46.16,47.18,438500
2023-07-31,47.15,47.17,46.69,47.02,439400
2023-08-01,47.02,47.02,45.78,46.37,323400
2023-08-02,46.04,46.59,45.81,46.32,313800
2023-08-03,46.22,47.07,45.95,46.62,759500
2023-08-04,46.1,46.71,44.95,45.71,887300
2023-08-07,45.92,46.28,45.54,45.84,386200
2023-08-08,45.44,45.81,45.07,45.43,502500
2023-08-09,45.34,45.64,45.03,45.2,498000
2023-08-10,45.26,46.65,44.96,45.03,333900
2023-08-11,44.94,45.48,44.78,45.44,484600
2023-08-14,45.45,45.45,44.75,45.14,374000
2023-08-15,44.84,44.88,43.94,43.97,511100
2023-08-16,43.98,44.29,42.88,43.08,545200
2023-08-17,43.22,43.39,42.71,42.94,385800
2023-08-18,42.7,43.7,42.6,43.53,706200
2023-08-21,43.53,43.75,42.79,42.94,407600
2023-08-22,42.86,43.14,42.26,42.4,337600
2023-08-23,42.36,42.71,42.01,42.69,306700
2023-08-24,42.67,43.32,42.39,42.86,311100
2023-08-25,42.93,43.08,42.32,42.53,298700
2023-08-28,42.68,43.32,42.37,42.7,394400
2023-08-29,42.7,43.28,42.65,43.27,472700
2023-08-30,43.41,43.62,43.16,43.24,324700
2023-08-31,43.16,43.16,41.29,41.61,1104400
2023-09-01,41.78,42.0,41.32,41.47,761000
2023-09-05,41.26,41.31,40.45,40.57,752400
2023-09-06,40.57,40.82,39.92,40.47,783300
2023-09-07,40.49,40.84,39.83,40.16,452800
2023-09-08,40.38,41.0,39.13,39.43,1135000
2023-09-11,39.66,40.01,39.48,39.81,611100
2023-09-12,39.72,39.88,38.88,38.95,686000
2023-09-13,39.0,40.33,38.87,40.12,918500
2023-09-14,40.48,40.78,39.79,40.35,635800
2023-09-15,40.34,40.35,39.92,40.17,1280900
2023-09-18,40.24,40.52,40.17,40.3,521000
2023-09-19,40.27,40.4,39.94,40.23,631900
2023-09-20,40.47,40.9,40.28,40.33,548800
2023-09-21,40.13,40.35,39.6,39.6,434500
2023-09-22,39.6,39.89,39.08,39.21,631200
2023-09-25,39.14,39.64,39.14,39.42,390500
2023-09-26,39.1,39.47,38.84,38.87,528200
2023-09-27,38.88,38.97,38.21,38.55,486200
2023-09-28,38.51,38.97,38.2,38.82,388500
