Date,Open,High,Low,Close,Volume
2023-01-13,174.61,177.15,172.57,176.54,255900
2023-01-17,176.89,178.95,174.39,177.02,244700
2023-01-18,177.54,179.38,174.81,174.95,308800
2023-01-19,173.04,175.23,172.28,174.93,181700
2023-01-20,176.87,177.77,175.39,177.08,275000
2023-01-23,176.78,180.94,175.86,180.45,293300
2023-01-24,180.15,183.49,179.93,181.14,337500
2023-01-25,178.73,181.34,177.23,180.63,183700
2023-01-26,181.9,183.33,179.75,182.01,250500
2023-01-27,181.33,183.7,180.7,181.87,146100
2023-01-30,179.65,181.83,178.11,180.3,249500
2023-01-31,181.56,185.09,180.06,184.97,298100
2023-02-01,184.97,191.26,184.3,190.32,336800
2023-02-02,192.29,194.05,189.28,190.59,306000
2023-02-03,188.21,191.01,187.14,188.41,339200
2023-02-06,187.04,187.53,182.82,183.37,276200
2023-02-07,182.98,189.77,182.03,189.26,320200
2023-02-08,187.67,189.7,185.44,186.59,615800
2023-02-09,192.0,204.06,191.75,199.77,970500
2023-02-10,201.0,203.54,196.54,201.27,501500
2023-02-13,201.99,202.76,197.68,199.95,431600
2023-02-14,197.0,201.47,195.33,198.91,397800
2023-02-15,196.95,199.63,196.06,198.0,463500
2023-02-16,195.62,199.68,195.34,197.06,290500
2023-02-17,194.58,195.64,191.48,192.19,296000
2023-02-21,189.98,191.59,187.79,188.81,247500
2023-02-22,190.05,191.13,187.69,189.08,546600
2023-02-23,190.46,192.06,188.6,191.55,314400
2023-02-24,188.56,190.26,186.23,189.8,215400
2023-02-27,191.44,193.58,190.18,190.45,197000
2023-02-28,190.52,194.26,190.52,192.81,410600
2023-03-01,191.87,193.89,191.4,193.78,225200
2023-03-02,192.83,194.62,192.37,194.38,177900
2023-03-03,194.79,197.08,192.97,196.28,190800
2023-03-06,196.57,198.22,193.31,193.58,207900
2023-03-07,194.0,195.57,190.61,191.15,256400
2023-03-08,190.32,193.18,189.55,190.66,196000
2023-03-09,191.12,193.86,185.25,185.28,256700
2023-03-10,184.8,185.31,179.37,180.03,363400
2023-03-13,176.94,176.94,169.47,170.94,687800
2023-03-14,175.31,179.71,174.61,176.84,338800
2023-03-15,170.78,173.72,168.75,173.56,353100
2023-03-16,170.01,174.81,168.83,174.19,388600
2023-03-17,173.67,173.67,168.35,169.25,613900
2023-03-20,170.94,174.72,170.45,171.99,326900
2023-03-21,176.05,177.98,174.01,177.33,466900
2023-03-22,177.23,177.31,170.75,170.79,311400
2023-03-23,170.73,174.19,167.68,168.61,250500
2023-03-24,165.66,168.72,163.28,168.61,405800
2023-03-27,170.9,173.96,169.4,172.75,467100
2023-03-28,172.31,175.46,170.56,174.88,329700
2023-03-29,176.89,179.0,175.89,178.21,215200
2023-03-30,180.07,181.86,177.95,178.92,188800
2023-03-31,180.25,184.32,180.25,183.89,307100
2023-04-03,183.94,186.34,182.79,184.72,350000
2023-04-04,185.36,185.36,180.08,181.4,245100
2023-04-05,180.55,182.31,178.84,181.3,333400
2023-04-06,181.3,181.3,178.46,179.79,183200
2023-04-10,179.32,181.4,179.32,180.14,144200
2023-04-11,181.41,183.76,180.28,183.12,240000
2023-04-12,184.68,185.99,183.31,183.33,230300
2023-04-13,184.32,188.21,183.31,187.05,213400
2023-04-14,187.58,189.61,186.44,188.59,265200
2023-04-17,189.05,190.97,188.24,190.91,288500
2023-04-18,191.47,191.93,189.97,191.39,202200
2023-04-19,190.42,190.69,184.33,186.99,259100
2023-04-20,185.34,188.34,184.12,184.5,242000
2023-04-21,184.15,184.15,178.83,180.07,640300
2023-04-24,180.3,183.64,179.24,182.13,336400
2023-04-25,179.2,180.05,175.77,176.2,332700
2023-04-26,175.2,179.41,173.62,174.39,306900
2023-04-27,172.85,178.33,172.48,173.29,471200
2023-04-28,173.35,181.56,173.0,177.35,508700
2023-05-01,176.2,177.98,172.74,174.06,339500
2023-05-02,172.47,172.75,164.75,167.45,511300
2023-05-03,167.79,171.73,166.74,167.16,494800
2023-05-04,167.05,169.66,165.17,169.45,408700
2023-05-05,173.03,175.74,173.03,175.61,363600
2023-05-08,176.89,176.89,174.91,176.42,271600
2023-05-09,175.4,176.67,174.62,176.41,283500
2023-05-10,178.57,178.9,173.65,174.14,374200
2023-05-11,173.07,174.72,172.81,174.39,191000
2023-05-12,175.25,175.77,172.93,173.66,216900
2023-05-15,174.11,177.44,174.11,175.59,180300
2023-05-16,174.97,175.58,172.58,172.59,168800
2023-05-17,173.79,179.67,173.08,177.24,244800
2023-05-18,176.81,179.21,176.12,179.05,171900
2023-05-19,179.99,181.03,176.96,177.83,189500
2023-05-22,177.99,179.67,177.37,179.34,182100
2023-05-23,178.38,179.57,174.28,174.87,223100
2023-05-24,173.88,174.06,168.76,169.43,295500
2023-05-25,169.5,169.5,167.27,167.69,310200
2023-05-26,168.34,171.01,167.78,169.3,185700
2023-05-30,169.61,170.36,164.81,167.0,456600
2023-05-31,166.0,166.25,162.03,165.85,623400
2023-06-01,166.38,169.96,166.38,169.35,217900
2023-06-02,172.25,176.7,171.35,176.38,255700
2023-06-05,174.72,175.23,170.37,173.79,277200
2023-06-06,173.77,181.48,173.77,180.49,347800
2023-06-07,181.18,183.04,178.3,181.39,303000
2023-06-08,181.06,182.34,176.97,178.45,294600
2023-06-09,178.92,181.47,178.02,180.51,356900
2023-06-12,179.86,181.57,175.12,175.36,285900
2023-06-13,175.85,178.04,175.43,176.9,294800
2023-06-14,177.88,179.61,172.81,173.9,353500
2023-06-15,173.74,180.1,172.9,180.04,331500
2023-06-16,180.06,180.06,175.57,176.53,944200
2023-06-20,173.96,177.06,172.24,175.1,290800
2023-06-21,174.24,176.23,173.05,174.82,260400
2023-06-22,173.85,174.6,171.72,173.0,267500
2023-06-23,170.75,172.53,169.57,172.22,521200
2023-06-26,171.4,174.51,171.4,172.84,249300
2023-06-27,173.79,177.68,173.32,177.57,308100
2023-06-28,177.51,178.68,176.18,178.04,307700
2023-06-29,179.2,181.42,177.56,180.24,213400
2023-06-30,182.09,183.51,181.18,182.07,376200
2023-07-03,181.3,183.45,180.99,183.1,163800
2023-07-05,181.6,184.3,180.61,183.6,259200
2023-07-06,181.53,183.79,178.63,183.48,340200
2023-07-07,182.32,186.09,181.86,184.97,273000
2023-07-10,183.95,188.31,183.83,187.48,278400
2023-07-11,187.68,190.82,186.79,190.17,294200
2023-07-12,192.47,193.31,190.16,190.6,203300
2023-07-13,191.27,197.5,190.6,195.53,321900
