Date,Open,High,Low,Close,Volume
2023-01-13,257.09,258.63,255.8,258.17,6300
2023-01-17,258.0,264.84,253.0,254.35,8400
2023-01-18,253.96,262.56,253.96,256.6,9100
2023-01-19,258.02,262.74,255.76,258.87,11700
2023-01-20,261.4,264.21,258.87,264.14,11200
2023-01-23,269.66,269.66,262.57,262.7,10400
2023-01-24,264.27,264.27,258.9,261.0,4600
2023-01-25,258.68,262.41,258.68,262.41,4000
2023-01-26,262.2,265.0,259.93,265.0,4400
2023-01-27,267.91,270.23,261.09,261.09,7300
2023-01-30,261.09,265.38,261.08,265.38,8700
2023-01-31,266.52,281.66,266.52,280.8,18500
2023-02-01,281.64,281.64,275.55,276.31,14600
2023-02-02,278.56,282.0,277.4,281.09,8900
2023-02-03,282.0,282.0,277.28,279.34,8100
2023-02-06,280.42,281.12,276.06,277.65,8200
2023-02-07,275.31,281.98,272.03,280.08,15500
2023-02-08,279.5,280.02,277.03,278.43,7700
2023-02-09,279.95,282.0,278.6,280.25,15900
2023-02-10,280.0,280.0,274.92,276.8,17500
2023-02-13,278.82,282.58,278.82,282.1,9300
2023-02-14,282.1,282.82,281.26,281.6,7500
2023-02-15,285.63,287.35,281.79,287.23,10100
2023-02-16,286.19,287.89,285.02,285.02,6300
2023-02-17,287.85,291.38,287.85,290.17,11200
2023-02-21,287.33,287.33,280.98,281.45,10500
2023-02-22,281.44,289.2,281.44,287.53,13500
2023-02-23,286.39,291.4,286.0,288.42,23600
2023-02-24,286.48,290.3,285.3,287.53,10000
2023-02-27,286.65,288.54,286.02,286.45,13000
2023-02-28,286.0,293.01,286.0,292.0,23200
2023-03-01,289.58,295.63,288.71,291.01,18400
2023-03-02,299.99,300.67,295.28,296.32,31800
2023-03-03,296.63,299.87,295.69,295.74,23900
2023-03-06,298.32,298.32,291.1,291.53,12200
2023-03-07,291.68,294.01,291.0,291.85,14900
2023-03-08,291.5,297.3,291.5,294.86,13600
2023-03-09,295.0,298.11,289.36,291.33,28400
2023-03-10,291.32,291.32,278.57,280.02,29900
2023-03-13,276.51,277.99,273.5,275.84,17400
2023-03-14,285.21,290.31,285.01,289.0,35400
2023-03-15,280.0,287.96,279.16,287.88,29100
2023-03-16,286.71,295.0,286.71,294.25,33200
2023-03-17,293.34,296.0,289.51,295.06,29500
2023-03-20,298.44,302.98,298.01,298.09,11800
2023-03-21,301.92,306.08,301.51,306.08,29100
2023-03-22,306.0,307.3,301.2,301.2,15700
2023-03-23,301.0,306.52,301.0,302.76,24900
2023-03-24,302.36,306.56,301.88,304.49,18300
2023-03-27,305.0,308.51,303.82,308.49,20700
2023-03-28,307.3,311.1,305.53,307.74,20500
2023-03-29,309.51,310.46,303.99,310.14,21300
2023-03-30,312.86,319.67,312.29,318.61,37400
2023-03-31,317.73,324.2,315.51,320.43,41700
2023-04-03,322.99,328.46,319.0,327.51,24700
2023-04-04,326.02,330.0,322.85,329.65,20100
2023-04-05,329.65,332.46,323.52,326.66,31000
2023-04-06,326.46,326.46,317.63,321.0,18500
2023-04-10,321.5,325.64,318.83,322.21,34500
2023-04-11,321.36,330.28,319.68,327.58,34300
2023-04-12,328.53,335.99,327.67,331.57,29300
2023-04-13,334.16,335.0,325.56,325.56,20900
2023-04-14,324.66,332.68,324.66,332.68,12500
2023-04-17,335.04,337.69,329.37,329.37,24300
2023-04-18,329.29,337.86,327.31,335.85,21100
2023-04-19,335.0,335.0,329.64,333.45,33700
2023-04-20,332.67,346.13,332.67,343.96,24000
2023-04-21,342.34,347.89,337.59,345.9,24500
2023-04-24,346.0,349.46,345.36,349.45,8000
2023-04-25,349.6,349.6,343.11,343.95,17900
2023-04-26,342.16,342.16,335.0,336.62,39900
2023-04-27,337.0,338.07,326.93,333.49,19300
2023-04-28,331.69,339.48,331.69,333.92,18200
2023-05-01,334.0,338.25,328.27,331.84,25100
2023-05-02,332.41,337.34,327.03,336.38,27500
2023-05-03,338.49,338.49,329.77,329.77,20500
2023-05-04,326.2,326.5,316.22,320.68,56300
2023-05-05,323.82,323.82,308.92,319.02,72300
2023-05-08,321.69,324.04,313.6,323.69,38400
2023-05-09,323.69,332.61,323.69,328.44,35900
2023-05-10,330.88,330.88,323.5,325.89,9300
2023-05-11,323.88,329.89,317.19,326.73,15600
2023-05-12,326.73,330.08,325.04,328.16,11600
2023-05-15,329.73,329.73,325.74,326.89,15800
2023-05-16,326.11,329.45,325.91,326.62,20600
2023-05-17,325.9,335.66,325.65,334.69,22900
2023-05-18,336.81,341.68,336.81,341.04,13600
2023-05-19,340.39,341.1,335.73,337.05,16200
2023-05-22,336.96,337.8,335.6,336.54,12300
2023-05-23,339.35,339.5,335.76,336.67,15300
2023-05-24,336.34,338.14,330.71,331.95,44400
2023-05-25,337.3,337.3,329.53,330.8,11100
2023-05-26,329.96,334.9,329.96,332.74,13700
2023-05-30,334.08,334.08,329.11,330.61,17200
2023-05-31,329.12,333.0,323.91,325.99,25200
2023-06-01,329.95,331.71,327.43,330.84,16900
2023-06-02,334.12,349.45,334.12,349.37,20400
2023-06-05,348.73,348.73,341.95,345.9,14000
2023-06-06,350.0,357.81,350.0,356.28,19900
2023-06-07,357.83,369.64,357.83,368.02,23100
2023-06-08,367.69,371.67,362.86,369.03,20500
2023-06-09,369.14,369.14,360.09,361.87,23000
2023-06-12,361.87,365.0,358.3,363.07,12900
2023-06-13,368.33,370.59,367.31,369.33,16100
2023-06-14,368.0,373.02,366.39,367.73,21600
2023-06-15,365.09,370.85,363.6,367.36,23800
2023-06-16,368.36,371.11,357.75,358.46,43600
2023-06-20,357.49,361.62,355.37,356.66,26400
2023-06-21,353.61,363.05,353.61,359.44,24200
2023-06-22,358.42,360.51,356.25,356.26,13800
2023-06-23,354.01,356.51,338.06,339.94,43700
2023-06-26,342.53,344.92,339.05,339.18,14600
2023-06-27,340.38,347.5,340.16,342.05,16400
2023-06-28,338.07,341.86,333.39,334.54,10000
2023-06-29,334.54,347.19,334.54,338.0,12400
2023-06-30,338.0,338.0,330.96,332.47,22800
2023-07-03,334.4,337.0,333.29,337.0,7200
2023-07-05,333.7,336.15,330.89,331.45,15500
2023-07-06,329.5,329.5,320.62,320.9,11200
2023-07-07,314.09,325.42,314.09,323.98,41100
2023-07-10,325.18,330.45,325.18,327.74,13100
2023-07-11,330.93,333.86,326.58,331.11,37000
2023-07-12,330.99,342.05,330.89,341.03,73400
2023-07-13,342.5,342.58,339.05,340.81,11500
2023-07-14,342.77,348.68,337.21,347.23,15800
2023-07-17,349.97,352.97,349.41,349.41,12500
2023-07-18,350.26,358.25,348.12,351.0,13400
2023-07-19,352.05,361.64,350.08,361.34,23800
2023-07-20,363.54,370.01,363.54,368.18,17400
2023-07-21,370.02,372.42,361.69,368.71,21900
2023-07-24,362.26,364.41,362.07,363.74,8600
2023-07-25,363.72,367.88,362.58,363.88,9400
2023-07-26,363.8,367.85,363.8,366.1,11800
2023-07-27,367.53,369.72,363.78,366.41,18200
2023-07-28,370.0,371.07,367.45,367.45,9900
2023-07-31,368.93,368.93,362.54,363.46,10100
2023-08-01,365.18,365.18,360.72,361.21,11700
2023-08-02,362.75,362.75,353.04,354.98,10800
2023-08-03,355.34,357.16,354.43,356.74,8500
2023-08-04,354.08,369.57,354.08,367.0,9800
2023-08-07,363.05,364.49,358.05,363.14,7800
2023-08-08,363.09,364.91,361.45,363.8,8200
2023-08-09,364.01,371.65,362.89,366.09,11300
2023-08-10,374.56,374.61,368.54,370.21,16600
2023-08-11,373.62,378.57,373.0,373.0,11100
2023-08-14,371.14,373.6,368.51,372.42,9000
2023-08-15,372.81,376.72,371.06,372.86,9300
2023-08-16,372.34,376.93,367.7,367.72,9300
2023-08-17,371.35,371.35,358.3,358.31,9700
2023-08-18,356.2,361.87,356.2,359.98,28100
2023-08-21,362.89,365.05,357.8,359.06,42300
2023-08-22,356.97,360.4,352.99,354.8,38500
2023-08-23,353.0,363.11,353.0,360.73,41000
2023-08-24,358.4,362.86,357.83,357.83,11000
2023-08-25,357.13,360.97,356.52,358.7,9600
2023-08-28,360.99,371.19,360.99,371.19,9700
2023-08-29,374.17,383.11,374.0,383.11,13700
2023-08-30,387.3,387.97,382.17,383.8,7300
2023-08-31,388.41,388.41,379.01,380.53,10700
2023-09-01,377.59,382.97,377.59,382.86,8000
2023-09-05,371.96,375.0,370.65,374.7,12000
2023-09-06,374.46,374.46,365.01,370.22,25600
2023-09-07,371.58,372.5,367.5,367.5,16100
2023-09-08,368.03,370.8,365.01,369.09,18900
2023-09-11,374.38,375.0,365.91,370.96,18500
2023-09-12,371.43,371.48,363.94,363.94,22300
2023-09-13,363.6,369.0,361.02,363.62,22000
2023-09-14,365.04,380.91,363.87,378.45,31300
2023-09-15,377.34,384.77,371.32,384.29,70900
2023-09-18,387.33,387.33,377.71,377.82,24600
2023-09-19,380.0,383.0,373.15,376.23,31400
2023-09-20,375.55,381.65,373.4,373.49,28200
2023-09-21,367.37,370.68,360.97,367.9,12700
2023-09-22,368.35,373.0,368.01,370.02,24000
2023-09-25,370.0,373.99,369.12,369.12,19000
2023-09-26,370.46,370.7,364.89,365.74,23700
2023-09-27,368.2,374.41,367.35,369.71,27300
2023-09-28,374.01,386.56,374.01,384.96,36100
2023-09-29,384.96,388.1,371.77,373.13,37900
2023-10-02,370.12,381.17,370.12,375.71,39300
2023-10-03,377.6,380.08,367.0,379.37,39400
2023-10-04,379.01,385.06,376.9,382.06,54900
2023-10-05,385.0,391.15,378.94,390.67,54600
2023-10-06,390.95,405.79,386.13,400.3,39100
2023-10-09,395.53,404.72,395.53,402.5,20600
2023-10-10,406.92,418.58,404.71,404.71,43000
2023-10-11,402.99,410.62,401.0,410.03,27100
2023-10-12,406.96,406.96,393.67,393.67,16400
2023-10-13,392.53,397.59,390.8,393.7,16300
2023-10-16,395.09,403.29,392.51,401.86,19300
2023-10-17,402.9,411.0,400.7,400.7,27300
2023-10-18,398.5,412.53,395.11,404.12,27700
2023-10-19,407.89,419.42,400.6,419.33,48400
2023-10-20,419.38,419.38,405.05,408.12,29800
2023-10-23,404.96,413.04,400.1,402.4,33100
2023-10-24,407.23,415.19,405.33,414.47,31700
2023-10-25,411.0,415.16,409.77,412.77,33900
2023-10-26,414.66,414.98,404.79,404.79,27100
2023-10-27,403.54,410.93,402.28,405.3,26600
2023-10-30,406.68,407.8,395.01,395.99,71500
2023-10-31,396.41,403.53,396.0,403.32,31700
2023-11-01,403.01,413.01,400.76,410.99,37400
2023-11-02,410.0,416.9,410.0,414.99,48000
2023-11-03,419.0,426.0,418.02,424.9,21300
2023-11-06,420.96,431.04,420.36,431.04,30900
2023-11-07,431.88,433.48,424.22,432.78,53800
2023-11-08,433.7,438.98,426.36,438.98,32500
2023-11-09,435.49,435.49,430.08,431.75,15200
2023-11-10,432.73,438.25,431.81,438.25,11900
2023-11-13,437.14,444.11,433.25,439.77,43200
2023-11-14,441.61,444.85,435.63,442.85,37100
2023-11-15,442.59,445.84,431.89,434.14,29300
2023-11-16,434.14,434.14,423.16,426.0,56800
2023-11-17,429.59,438.04,429.59,437.8,40400
2023-11-20,438.21,441.55,436.15,441.02,39600
2023-11-21,437.11,443.6,437.11,441.85,21200
2023-11-22,445.92,445.92,436.66,437.64,16700
2023-11-24,436.0,439.47,434.0,437.91,14200
2023-11-27,438.5,442.44,435.05,437.7,53000
2023-11-28,436.8,437.76,431.01,431.28,31400
2023-11-29,435.01,440.55,430.0,430.86,34600
2023-11-30,432.95,438.3,429.27,430.0,38100
2023-12-01,431.72,440.39,431.72,434.99,20200
2023-12-04,439.22,442.27,438.84,439.34,35900
2023-12-05,437.5,440.4,430.5,435.96,39000
2023-12-06,436.0,446.46,436.0,437.32,22100
2023-12-07,441.8,443.69,436.74,439.3,14800
2023-12-08,443.3,448.0,438.08,446.68,27600
2023-12-11,446.76,446.76,439.0,442.5,18700
2023-12-12,443.01,451.3,442.44,443.85,16700
2023-12-13,443.51,449.89,438.89,445.9,16000
2023-12-14,450.0,450.62,430.17,433.01,33700
2023-12-15,435.48,438.78,421.63,422.44,81700
2023-12-18,421.76,431.22,421.0,421.0,25700
2023-12-19,422.33,426.77,419.07,420.37,23500
2023-12-20,423.16,423.16,413.42,414.66,25800
2023-12-21,416.33,420.89,415.4,419.92,17900
2023-12-22,419.76,419.76,416.16,417.44,9500
2023-12-26,417.5,422.83,417.5,421.82,8600
2023-12-27,420.02,429.79,420.02,426.18,19000
2023-12-28,424.4,426.67,420.41,421.9,11700
2023-12-29,417.85,422.0,417.52,417.55,23800
2024-01-02,414.38,417.5,407.33,407.94,20300
2024-01-03,407.41,407.41,391.32,391.32,35000
2024-01-04,392.88,397.29,390.27,390.27,27800
2024-01-05,387.02,389.87,373.52,373.52,19700
2024-01-08,373.2,384.39,371.82,382.97,51400
2024-01-09,380.77,380.9,377.0,379.71,22400
2024-01-10,381.53,391.1,381.53,391.1,25900
2024-01-11,387.37,387.37,371.01,371.01,19500
2024-01-12,372.76,373.01,363.7,365.98,24600
2024-01-16,362.2,365.84,356.04,358.25,21400
2024-01-17,355.0,365.01,355.0,360.19,35300
2024-01-18,363.36,363.36,352.0,353.0,29700
2024-01-19,355.0,356.74,351.78,356.44,27000
2024-01-22,355.4,362.21,355.4,360.4,22700
2024-01-23,363.62,363.62,350.03,350.37,22500
2024-01-24,355.71,355.71,343.52,343.72,13800
2024-01-25,346.9,349.1,344.01,347.16,28400
2024-01-26,349.8,350.0,345.0,347.69,33200
2024-01-29,348.81,364.45,348.81,363.88,20700
2024-01-30,364.0,374.83,363.68,371.88,17700
2024-01-31,368.63,375.73,360.65,360.67,39100
2024-02-01,364.85,379.06,359.69,373.17,19800
2024-02-02,370.56,376.39,364.54,365.74,33200
2024-02-05,365.74,371.8,361.68,365.86,27200
2024-02-06,366.06,373.47,366.06,370.75,23400
2024-02-07,374.28,374.28,366.47,366.64,18100
2024-02-08,372.0,377.38,370.11,377.38,14900
2024-02-09,375.21,379.87,373.52,379.87,21400
2024-02-12,380.0,388.42,380.0,382.02,20500
2024-02-13,372.04,377.54,372.04,373.62,34100
2024-02-14,380.01,389.41,377.35,389.41,26000
2024-02-15,388.5,397.96,387.02,395.97,15700
2024-02-16,397.96,398.95,392.74,398.18,24000
2024-02-20,396.53,400.52,396.53,400.18,24800
2024-02-21,394.73,406.8,393.2,393.52,43600
2024-02-22,392.19,398.08,384.64,391.76,56700
2024-02-23,398.72,399.64,388.12,388.12,19000
2024-02-26,389.02,391.2,382.73,382.73,30900
2024-02-27,384.68,387.92,378.2,378.59,14200
2024-02-28,374.92,383.87,372.91,373.53,39800
2024-02-29,377.06,381.84,377.06,379.55,21100
2024-03-01,378.61,378.61,361.52,363.1,27700
2024-03-04,363.0,367.13,359.69,359.85,32600
2024-03-05,357.91,364.22,357.74,359.76,27600
2024-03-06,355.97,355.97,345.16,346.2,47500
2024-03-07,349.7,359.21,345.41,354.75,30700
2024-03-08,358.25,361.49,350.95,353.74,18300
2024-03-11,354.0,354.0,345.01,345.01,18400
2024-03-12,349.76,351.38,347.01,347.2,12400
2024-03-13,344.97,349.77,344.64,349.76,14400
2024-03-14,349.84,358.23,348.56,353.53,25900
2024-03-15,349.53,353.2,344.43,347.87,29300
2024-03-18,348.11,355.44,346.6,346.6,19100
2024-03-19,344.46,355.87,344.46,350.95,17200
2024-03-20,350.94,354.21,345.32,352.51,31100
2024-03-21,355.62,355.62,348.38,352.27,15400
2024-03-22,349.61,349.61,344.0,346.94,15100
2024-03-25,346.94,347.07,339.0,344.3,17700
2024-03-26,346.8,352.72,344.95,348.77,30000
2024-03-27,352.98,359.44,345.69,359.19,45300
2024-03-28,356.68,362.49,356.68,361.7,25100
2024-04-01,359.42,364.24,357.6,364.24,32700
2024-04-02,353.21,355.39,347.14,351.01,46700
2024-04-03,351.2,354.48,341.09,341.09,36900
2024-04-04,341.69,343.01,331.75,335.59,35000
2024-04-05,333.96,340.77,333.96,340.0,31900
2024-04-08,343.81,346.23,339.92,343.0,33800
2024-04-09,343.15,348.44,343.15,346.1,46300
2024-04-10,343.98,350.3,342.0,348.1,59800
2024-04-11,351.45,353.01,349.39,351.39,29500
2024-04-12,351.19,352.0,343.6,343.6,30900
2024-04-15,344.76,347.67,343.21,347.67,29800
2024-04-16,344.9,352.67,344.73,352.67,46700
2024-04-17,354.0,369.03,352.0,368.5,37700
2024-04-18,368.74,388.43,365.3,366.0,40800
2024-04-19,363.14,383.69,363.14,383.69,46300
2024-04-22,382.74,390.85,376.76,378.15,50700
2024-04-23,376.76,384.95,371.49,374.0,19400
2024-04-24,369.97,376.67,369.97,371.8,18400
2024-04-25,359.63,367.13,359.63,365.67,15700
2024-04-26,367.9,367.9,358.76,360.0,13700
2024-04-29,364.01,370.48,358.26,359.4,21900
2024-04-30,359.94,362.69,356.03,359.32,20200
2024-05-01,358.4,364.5,358.4,359.3,17500
2024-05-02,359.07,361.96,356.0,360.57,19900
2024-05-03,365.03,365.63,362.46,364.3,8700
2024-05-06,361.81,361.81,355.99,358.93,9800
2024-05-07,360.74,368.04,360.74,361.66,13600
2024-05-08,359.32,365.48,357.29,365.02,16500
2024-05-09,365.81,376.68,364.0,376.68,20600
2024-05-10,375.98,375.98,370.0,372.7,15700
2024-05-13,373.3,386.71,373.3,374.66,39800
2024-05-14,374.66,378.37,372.62,376.6,31600
2024-05-15,375.52,380.8,372.51,372.51,30600
2024-05-16,370.61,374.0,369.69,373.9,17300
2024-05-17,375.46,375.46,370.84,371.9,17400
2024-05-20,370.93,373.0,367.01,370.77,26800
2024-05-21,370.0,372.33,364.55,364.55,10400
2024-05-22,364.18,366.59,346.66,351.2,19000
2024-05-23,352.02,354.0,347.0,349.85,24500
2024-05-24,350.0,353.04,350.0,352.0,9900
2024-05-28,351.58,357.99,350.55,350.55,20900
2024-05-29,347.68,347.68,341.02,341.02,11800
2024-05-30,343.53,348.23,341.26,342.99,9600
2024-05-31,346.24,355.99,346.24,355.9,24500
2024-06-03,356.25,363.14,356.25,358.83,18500
2024-06-04,350.06,352.69,342.25,343.01,10300
2024-06-05,342.2,347.63,342.2,346.57,10200
2024-06-06,347.29,347.29,341.31,343.8,9700
2024-06-07,333.69,333.69,333.69,333.69,10000
2024-06-10,333.76,338.01,330.25,336.77,28000
2024-06-11,336.77,342.86,335.15,342.7,24800
2024-06-12,346.78,358.0,346.78,355.7,32600
2024-06-13,356.33,356.33,346.68,347.11,11600
2024-06-14,342.27,347.56,338.41,347.56,13600
2024-06-17,343.77,355.99,343.77,355.93,27800
2024-06-18,356.05,362.67,352.88,362.67,65100
2024-06-20,361.11,365.85,350.38,355.13,25600
2024-06-21,354.66,366.21,354.21,357.2,69100
2024-06-24,357.72,370.98,354.0,362.4,19200
2024-06-25,359.33,363.94,358.76,361.42,13100
2024-06-26,349.32,358.29,349.32,353.77,14800
2024-06-27,351.66,351.66,346.51,348.8,19500
2024-06-28,348.8,356.96,348.8,352.63,33900
2024-07-01,349.28,349.28,344.56,346.61,17200
2024-07-02,344.17,347.8,343.79,345.18,14100
2024-07-03,345.0,352.67,345.0,352.67,9800
2024-07-05,351.95,355.8,349.0,349.15,40500
2024-07-08,351.37,358.0,349.5,350.9,13700
2024-07-09,354.28,355.77,354.04,355.0,15100
2024-07-10,357.99,363.2,357.99,363.2,18400
2024-07-11,368.29,393.74,368.26,388.98,40500
2024-07-12,389.15,396.23,389.15,392.62,30400
2024-07-15,396.6,400.99,390.24,397.01,39100
2024-07-16,401.95,431.67,400.11,423.0,58000
2024-07-17,415.57,424.04,408.97,409.92,47000
2024-07-18,405.21,414.04,393.21,398.82,40800
2024-07-19,399.8,402.33,386.2,389.49,30600
2024-07-22,389.45,407.62,389.45,407.62,23600
2024-07-23,405.09,407.0,401.27,401.56,24900
2024-07-24,401.0,402.0,394.86,395.31,18800
2024-07-25,403.21,407.0,396.96,396.96,44500
2024-07-26,402.02,407.0,399.49,405.0,25300
2024-07-29,406.99,407.0,393.29,393.5,48900
2024-07-30,396.41,396.41,388.67,388.67,15400
2024-07-31,390.11,399.05,388.25,395.64,32400
2024-08-01,398.5,398.5,372.08,378.0,50800
2024-08-02,367.47,367.8,361.18,365.4,14900
2024-08-05,348.01,358.07,348.01,356.37,40600
2024-08-06,356.86,360.51,351.62,351.9,28700
2024-08-07,355.73,357.0,354.54,355.48,32800
2024-08-08,358.68,363.79,358.68,362.46,29400
2024-08-09,363.22,363.22,361.0,361.06,15000
2024-08-12,360.92,363.97,360.79,361.33,34300
2024-08-13,364.93,372.0,362.51,370.19,44900
2024-08-14,366.0,370.61,364.0,365.9,47400
2024-08-15,381.2,384.66,373.0,374.56,31500
2024-08-16,374.49,378.2,371.46,371.46,21500
2024-08-19,375.74,375.95,369.25,369.33,47700
2024-08-20,368.15,368.49,361.63,367.45,52100
2024-08-21,367.99,374.18,367.5,373.27,136800
2024-08-22,371.84,372.07,362.89,362.89,22900
2024-08-23,367.64,377.24,365.01,371.59,74500
2024-08-26,375.01,375.93,367.12,368.28,53600
2024-08-27,365.41,373.26,365.31,367.01,28800
2024-08-28,364.15,364.9,355.59,356.81,24300
2024-08-29,359.0,363.76,356.8,358.51,15700
2024-08-30,360.98,360.98,356.24,360.6,21000
2024-09-03,358.64,362.07,355.52,357.4,20400
2024-09-04,358.2,361.75,357.41,360.67,27000
2024-09-05,362.92,364.99,352.8,353.63,34600
2024-09-06,354.95,357.35,348.18,349.77,17900
2024-09-09,350.35,351.59,343.46,345.79,33800
2024-09-10,346.42,349.62,344.09,346.1,14000
2024-09-11,344.27,346.71,343.48,346.71,12000
2024-09-12,349.64,354.57,349.64,352.67,20000
2024-09-13,356.9,368.51,356.9,363.06,25100
2024-09-16,365.85,366.21,359.86,360.98,25200
2024-09-17,361.94,374.48,361.94,372.58,38700
2024-09-18,370.61,382.5,369.19,373.03,25300
2024-09-19,378.79,383.46,375.5,383.46,21300
2024-09-20,378.93,385.33,377.22,383.04,63600
2024-09-23,387.03,387.03,365.6,369.68,41700
2024-09-24,369.21,375.51,369.21,373.0,35000
2024-09-25,373.68,381.23,371.49,378.2,34800
2024-09-26,381.1,385.65,381.1,384.89,20200
2024-09-27,388.88,388.88,384.29,385.0,25700
2024-09-30,384.89,388.15,381.89,382.93,25700
2024-10-01,384.2,384.2,368.89,370.0,16100
2024-10-02,366.79,366.79,362.15,365.94,17300
2024-10-03,350.0,352.89,350.0,352.4,16000
2024-10-04,356.34,371.11,356.34,369.22,28600
2024-10-07,368.63,368.63,358.8,360.54,15800
2024-10-08,360.54,373.65,360.33,369.48,29900
2024-10-09,370.1,373.03,365.66,365.66,9100
2024-10-10,364.34,364.34,355.46,361.46,15000
2024-10-11,361.62,367.84,359.51,367.84,17000
2024-10-14,368.35,369.1,364.17,366.88,12700
2024-10-15,364.35,383.58,364.35,368.11,26000
2024-10-16,375.16,377.0,367.1,376.54,22700
2024-10-17,376.58,390.59,372.93,382.02,18100
2024-10-18,384.45,386.5,380.14,385.77,17400
2024-10-21,383.08,388.78,378.74,386.81,12800
2024-10-22,383.8,387.05,380.26,380.26,17500
2024-10-23,379.28,380.4,377.5,378.69,15000
2024-10-24,376.0,379.11,376.0,377.43,16700
2024-10-25,379.86,381.47,370.42,371.23,12000
2024-10-28,375.78,380.23,373.5,377.0,16700
2024-10-29,372.84,380.68,370.01,380.49,15200
2024-10-30,378.98,385.44,378.98,384.6,13700
2024-10-31,382.74,382.74,372.89,372.89,19900
2024-11-01,380.15,384.68,379.0,384.68,17200
2024-11-04,381.4,391.47,381.4,390.11,15100
2024-11-05,391.66,396.37,389.04,389.04,21400
2024-11-06,400.92,415.0,400.0,405.79,34100
2024-11-07,402.55,410.87,402.55,405.98,16700
2024-11-08,402.94,415.13,402.94,410.46,13100
2024-11-11,417.57,422.05,416.23,421.48,17700
2024-11-12,420.05,431.0,415.65,416.57,26100
2024-11-13,412.77,413.52,396.86,398.33,15500
2024-11-14,391.6,398.97,391.6,398.97,13800
2024-11-15,401.63,401.63,379.64,388.82,17300
2024-11-18,389.46,399.65,389.46,399.38,16800
2024-11-19,390.0,401.02,390.0,400.28,21600
2024-11-20,402.69,403.14,386.88,395.43,18900
2024-11-21,393.7,399.78,393.7,399.62,12400
2024-11-22,400.56,412.46,400.56,403.27,31500
2024-11-25,424.45,430.0,419.53,422.31,46100
2024-11-26,419.0,424.23,417.38,419.85,13400
2024-11-27,415.78,415.78,412.0,412.36,12400
2024-11-29,413.32,416.0,411.41,411.93,12600
2024-12-02,415.69,417.79,409.01,417.67,15700
2024-12-03,413.83,421.0,407.36,409.1,15800
2024-12-04,413.01,417.94,411.95,414.98,13000
2024-12-05,411.33,411.33,396.08,398.74,16200
2024-12-06,401.06,404.44,399.0,400.97,9500
2024-12-09,402.08,413.19,400.78,412.29,17900
2024-12-10,414.55,416.91,407.96,408.91,16100
2024-12-11,410.81,419.44,410.21,418.0,27800
2024-12-12,419.21,419.21,410.07,410.49,13500
2024-12-13,406.32,411.42,401.76,407.63,18000
2024-12-16,403.65,413.02,403.65,405.64,10800
2024-12-17,406.89,412.59,406.51,408.18,18500
2024-12-18,408.71,413.49,399.14,402.24,19000
2024-12-19,408.01,408.01,395.4,398.5,21900
2024-12-20,392.18,407.29,392.18,398.65,44100
2024-12-23,399.49,405.77,398.28,400.79,18900
2024-12-24,404.7,405.0,404.7,405.0,8400
2024-12-26,405.81,406.55,403.8,406.55,12600
2024-12-27,406.6,406.6,393.0,396.2,13700
2024-12-30,395.99,397.68,391.07,392.53,15600
2024-12-31,398.25,398.25,390.5,393.07,15300
2025-01-02,396.84,396.84,387.0,390.04,9100
