Date,Open,High,Low,Close,Volume
2023-01-13,149.59,151.46,145.81,146.0,582200
2023-01-17,144.98,150.01,144.98,148.09,575600
2023-01-18,148.89,150.64,143.26,144.59,604600
2023-01-19,144.0,144.23,135.73,136.64,672200
2023-01-20,138.88,142.405,134.53,141.69,602900
2023-01-23,141.67,149.86,141.095,149.76,440700
2023-01-24,149.44,149.94,146.43,148.16,392500
2023-01-25,144.76,150.55,143.44,150.23,304800
2023-01-26,153.51,156.56,152.13,155.46,422600
2023-01-27,154.62,159.79,154.0,157.83,380200
2023-01-30,157.4,158.844,153.44,156.62,326800
2023-01-31,157.68,159.13,156.19,158.47,300500
2023-02-01,158.03,165.99,155.895,163.01,601200
2023-02-02,165.18,168.33,163.815,165.59,846900
2023-02-03,162.52,168.94,161.08,165.96,410600
2023-02-06,164.59,166.64,161.88,164.06,390300
2023-02-07,163.43,166.28,158.98,165.51,456400
2023-02-08,163.26,163.53,158.69,158.95,384700
2023-02-09,160.42,160.75,157.4,158.97,373300
2023-02-10,157.47,158.93,154.0,155.6,561500
2023-02-13,156.84,165.301,155.59,163.16,723000
2023-02-14,161.4,171.36,159.53,170.66,766000
2023-02-15,170.66,175.685,168.54,174.42,938700
2023-02-16,171.91,180.97,171.4,172.79,1250600
2023-02-17,172.35,173.585,169.28,173.49,950900
2023-02-21,171.66,172.26,165.0,166.21,1193800
2023-02-22,189.42,193.737,176.6,179.0,2779500
2023-02-23,175.14,179.93,173.27,174.23,1003100
2023-02-24,170.1,175.77,168.618,171.06,734500
2023-02-27,169.68,175.61,168.37,173.18,621800
2023-02-28,173.14,175.39,170.11,170.35,565500
2023-03-01,170.35,172.105,169.01,170.89,374200
2023-03-02,170.89,173.5,166.68,172.16,531100
2023-03-03,172.75,175.27,170.29,173.55,535800
2023-03-06,173.78,174.89,171.06,172.9,494500
2023-03-07,174.01,176.01,169.305,169.68,694000
2023-03-08,169.5,170.78,167.33,170.75,567000
2023-03-09,171.72,174.1,169.26,169.52,645000
2023-03-10,170.26,172.65,164.1,165.05,850600
2023-03-13,162.85,167.89,161.81,165.62,740500
2023-03-14,170.0,171.18,167.01,170.23,466500
2023-03-15,167.98,174.85,167.24,174.76,542900
2023-03-16,174.2,181.955,173.39,181.4,756600
2023-03-17,181.16,183.36,177.66,182.2,697300
2023-03-20,183.05,188.1,182.3,184.28,573700
2023-03-21,185.45,189.13,184.54,184.55,518500
2023-03-22,183.86,187.51,182.05,183.0,530500
2023-03-23,184.63,187.72,179.835,184.26,423200
2023-03-24,182.26,185.01,179.71,184.29,309200
2023-03-27,180.8,184.825,179.121,182.11,577300
2023-03-28,181.74,184.55,180.56,183.82,532100
2023-03-29,185.43,185.7,179.29,179.41,701400
2023-03-30,180.53,182.285,178.96,179.72,462100
2023-03-31,180.45,185.47,180.08,183.58,741500
2023-04-03,181.91,187.79,181.91,187.78,576800
2023-04-04,187.18,187.205,175.92,176.41,935200
2023-04-05,175.78,179.93,174.83,179.25,529300
2023-04-06,178.9,180.25,175.47,180.13,289100
2023-04-10,179.35,180.66,176.7,178.33,554200
2023-04-11,178.41,183.81,178.35,182.05,415800
2023-04-12,183.37,183.5,176.41,176.51,369000
2023-04-13,178.99,181.8,177.2,180.06,396100
2023-04-14,178.86,186.03,178.86,185.39,464900
2023-04-17,185.87,187.07,183.4,185.48,527000
2023-04-18,187.63,192.16,185.635,188.45,704000
2023-04-19,186.27,188.45,184.38,187.43,381900
2023-04-20,186.59,190.78,186.06,188.78,393200
2023-04-21,188.91,191.89,187.87,190.36,411600
2023-04-24,189.5,197.09,189.5,196.82,770900
2023-04-25,195.62,198.17,194.13,195.63,628200
2023-04-26,197.3,205.118,195.0,199.39,953900
2023-04-27,200.89,202.41,197.68,199.05,701900
2023-04-28,198.48,202.94,196.06,200.11,646400
2023-05-01,200.31,202.725,198.19,198.68,712500
2023-05-02,198.66,200.68,195.67,199.31,679000
2023-05-03,212.0,221.3,196.01,217.95,2316700
2023-05-04,219.11,223.77,205.86,207.57,1192100
2023-05-05,209.0,210.6,204.61,210.23,598900
2023-05-08,210.37,211.08,204.09,206.42,494200
2023-05-09,204.9,206.315,200.73,201.76,545600
2023-05-10,204.43,206.02,200.47,203.68,353400
2023-05-11,203.86,209.38,202.84,206.91,427600
2023-05-12,206.57,210.44,206.1,207.41,391300
2023-05-15,207.33,208.355,204.54,206.29,412300
2023-05-16,205.82,206.55,200.67,201.03,397300
2023-05-17,202.24,205.03,199.82,203.47,567300
2023-05-18,202.93,206.09,201.68,204.1,349700
2023-05-19,205.67,207.53,203.755,206.74,384500
2023-05-22,206.09,209.47,202.875,204.24,555000
2023-05-23,202.44,205.42,199.67,202.45,452500
2023-05-24,202.4,205.99,200.45,205.92,397900
2023-05-25,207.06,207.06,199.68,201.1,531200
2023-05-26,200.42,202.65,199.79,200.77,446800
2023-05-30,202.54,205.375,197.23,201.37,484900
2023-05-31,201.35,202.43,196.26,199.36,494200
2023-06-01,198.76,200.465,196.79,198.74,475500
2023-06-02,201.11,202.04,194.22,197.77,523600
2023-06-05,196.0,204.9,196.0,203.69,504300
2023-06-06,203.74,203.85,198.15,198.48,525600
2023-06-07,198.05,200.9,192.78,196.08,625700
2023-06-08,195.64,199.0,193.2,193.41,394800
2023-06-09,193.41,195.49,188.36,188.87,645800
2023-06-12,189.85,192.105,186.15,190.6,542400
2023-06-13,189.76,190.96,186.58,188.29,890500
2023-06-14,188.26,192.88,186.235,191.73,473300
2023-06-15,190.65,191.9,187.785,188.94,485900
2023-06-16,190.57,191.615,187.1,188.17,545600
2023-06-20,188.11,190.87,187.42,189.83,479400
2023-06-21,189.93,194.0,189.28,191.74,448700
2023-06-22,191.45,191.61,185.24,186.44,726200
2023-06-23,185.14,191.68,181.0,187.32,4005200
2023-06-26,188.0,191.61,187.14,188.75,514400
2023-06-27,193.11,197.48,191.935,196.1,519300
2023-06-28,196.03,202.16,196.0,200.26,475100
2023-06-29,200.26,201.64,196.64,196.82,330500
2023-06-30,197.77,200.89,197.28,200.16,415500
2023-07-03,200.52,200.645,192.78,195.65,352400
2023-07-05,195.0,195.34,189.17,189.47,616100
2023-07-06,187.87,189.47,185.72,185.91,595800
2023-07-07,185.73,187.25,184.01,186.95,491800
2023-07-10,187.0,192.52,186.87,192.11,479400
2023-07-11,192.23,193.76,188.905,189.04,325600
2023-07-12,191.45,195.92,188.12,195.43,482200
2023-07-13,196.5,199.15,195.36,195.59,336700
2023-07-14,195.0,197.93,193.08,193.94,330200
2023-07-17,194.16,195.72,191.88,193.57,360800
2023-07-18,194.22,196.59,191.71,192.46,389300
2023-07-19,192.89,193.97,186.51,187.13,507400
2023-07-20,186.5,189.24,185.1,185.46,310800
2023-07-21,186.56,187.954,184.71,185.78,273200
2023-07-24,185.79,186.465,182.93,183.39,381300
2023-07-25,184.22,186.09,183.3,185.12,351700
2023-07-26,185.18,185.18,181.135,183.4,370100
2023-07-27,183.69,184.95,178.55,179.01,483600
2023-07-28,173.91,175.2,163.402,164.63,1514600
2023-07-31,165.09,169.67,164.11,168.58,819900
2023-08-01,166.9,168.7,164.22,168.42,1086400
2023-08-02,165.17,172.65,160.05,167.68,1113900
2023-08-03,167.53,172.8,164.19,165.53,922300
2023-08-04,166.98,168.17,164.32,165.82,541000
2023-08-07,165.4,169.12,164.97,166.84,559600
2023-08-08,166.84,166.84,160.975,161.26,636500
