Date,Open,High,Low,Close,Volume
2023-01-13,74.48,79.72,74.48,79.03,67900
2023-01-17,79.88,82.17,78.93,80.98,70500
2023-01-18,81.16,82.51,76.5,78.82,89600
2023-01-19,78.33,78.33,74.36,76.09,64600
2023-01-20,77.04,80.14,75.37,79.88,94300
2023-01-23,80.67,82.38,79.63,82.0,61300
2023-01-24,81.89,82.88,79.77,80.25,77100
2023-01-25,79.0,83.2,77.89,81.0,182500
2023-01-26,80.74,111.99,80.74,108.49,374000
2023-01-27,104.15,105.75,95.01,103.11,199000
2023-01-30,101.02,104.72,95.4,95.41,119100
2023-01-31,94.46,98.34,93.3,95.72,115000
2023-02-01,96.38,98.69,93.37,98.48,115100
2023-02-02,101.46,109.98,99.09,109.86,189300
2023-02-03,107.44,110.9,106.24,106.45,116900
2023-02-06,105.8,105.8,99.9,100.66,123100
2023-02-07,100.85,102.02,96.05,101.37,180600
2023-02-08,101.71,102.56,98.48,98.51,81300
2023-02-09,99.51,102.4,96.47,96.59,85700
2023-02-10,95.65,97.56,94.05,94.37,104000
2023-02-13,94.46,97.74,93.19,97.24,101800
2023-02-14,96.68,98.39,94.0,97.18,76600
2023-02-15,97.15,101.84,96.21,100.79,64100
2023-02-16,98.22,102.94,95.01,99.27,100900
2023-02-17,99.17,100.88,97.05,99.5,55300
2023-02-21,98.27,98.27,95.09,95.22,68700
2023-02-22,95.9,97.8,94.52,94.67,120600
2023-02-23,96.35,98.06,93.47,94.77,78500
2023-02-24,93.09,94.15,90.32,93.85,131500
2023-02-27,94.56,94.99,90.47,92.61,84400
2023-02-28,92.7,95.16,92.6,93.36,48100
2023-03-01,93.07,94.75,91.4,92.78,93400
2023-03-02,91.0,93.96,90.1,93.12,95200
2023-03-03,94.34,96.26,92.6,94.85,66500
2023-03-06,94.49,94.79,90.0,91.01,90500
2023-03-07,91.15,93.5,90.18,91.59,64700
2023-03-08,91.02,91.73,88.92,90.31,56200
2023-03-09,90.02,90.26,84.87,85.77,102300
2023-03-10,85.52,86.4,80.85,83.47,106400
2023-03-13,80.92,85.77,78.37,81.91,103500
2023-03-14,85.3,85.35,80.12,81.25,101700
2023-03-15,78.46,84.62,77.33,82.76,95200
2023-03-16,81.33,83.51,78.78,82.58,64800
2023-03-17,81.43,81.57,78.02,79.5,138400
2023-03-20,80.57,81.76,78.2,78.8,97600
2023-03-21,80.73,83.01,80.73,82.38,86100
2023-03-22,80.91,82.31,78.83,79.12,89500
2023-03-23,79.66,81.48,76.39,78.31,128400
2023-03-24,77.06,78.99,75.19,77.97,58400
2023-03-27,81.09,81.09,78.33,79.34,70500
2023-03-28,78.49,80.26,78.44,79.46,43700
2023-03-29,80.81,80.87,78.3,80.68,74600
2023-03-30,81.59,83.21,79.2,80.89,64500
2023-03-31,81.74,83.55,81.2,83.29,69100
2023-04-03,83.66,84.39,81.47,82.17,53400
2023-04-04,82.17,82.17,79.51,80.93,37100
2023-04-05,78.98,80.29,77.55,79.09,48200
2023-04-06,79.31,82.75,75.4,80.98,88600
2023-04-10,80.2,82.4,80.02,80.68,49100
2023-04-11,81.47,83.49,80.06,82.87,62200
2023-04-12,84.4,85.0,80.96,81.61,66100
2023-04-13,82.47,84.56,82.1,83.22,54500
2023-04-14,83.41,83.72,81.08,82.43,63900
2023-04-17,82.72,84.26,82.0,83.62,33800
2023-04-18,83.62,84.38,82.16,83.55,49900
2023-04-19,82.64,85.06,81.76,84.73,48500
2023-04-20,83.85,87.9,83.59,86.67,81800
2023-04-21,86.4,88.41,84.67,88.35,99700
2023-04-24,88.4,94.14,87.8,93.54,121500
2023-04-25,92.26,93.47,91.01,92.27,148000
2023-04-26,92.37,98.55,92.37,96.59,101100
2023-04-27,96.92,100.67,95.69,99.52,57600
2023-04-28,99.32,102.15,99.32,100.9,69200
2023-05-01,101.22,101.3,96.97,98.62,80700
2023-05-02,98.09,98.09,88.79,93.09,90500
2023-05-03,92.6,98.69,92.6,95.83,73000
2023-05-04,96.62,111.62,96.62,102.71,172800
2023-05-05,105.3,109.74,101.99,109.33,89800
2023-05-08,109.33,114.77,108.16,112.57,77000
2023-05-09,111.47,113.56,106.04,106.14,142400
2023-05-10,108.88,108.88,104.46,107.01,61100
2023-05-11,105.63,106.84,102.9,104.05,51900
2023-05-12,103.41,105.29,102.65,104.89,68300
2023-05-15,104.59,107.17,103.78,103.78,35300
2023-05-16,102.47,103.49,99.73,101.13,76400
2023-05-17,102.54,107.33,101.42,106.61,45000
2023-05-18,108.1,112.8,108.1,112.53,43300
2023-05-19,113.3,114.68,104.52,112.65,139900
2023-05-22,113.7,115.68,108.94,112.58,42500
2023-05-23,111.97,116.82,111.97,116.3,46700
2023-05-24,112.24,113.59,109.6,113.0,46700
2023-05-25,113.56,115.53,111.02,112.58,25600
2023-05-26,112.7,113.81,110.41,110.43,26100
2023-05-30,110.41,111.61,109.51,110.73,23700
2023-05-31,110.73,114.51,108.35,111.19,75800
2023-06-01,111.5,111.5,106.95,110.22,57000
2023-06-02,111.03,117.42,111.03,117.23,40400
2023-06-05,115.84,117.44,113.38,115.66,40000
2023-06-06,115.42,121.72,115.3,121.14,52300
2023-06-07,123.99,128.2,123.0,124.81,45100
2023-06-08,125.03,126.62,123.3,126.23,35600
2023-06-09,126.25,126.51,121.08,123.02,43000
2023-06-12,123.99,125.32,121.61,123.61,26000
2023-06-13,125.42,129.01,125.37,128.74,47100
2023-06-14,128.87,130.79,127.51,130.59,68200
2023-06-15,128.88,131.29,126.98,129.43,47400
2023-06-16,130.73,130.73,125.32,126.2,70400
2023-06-20,125.41,126.75,123.86,125.43,51900
2023-06-21,135.62,147.31,135.12,135.24,211300
2023-06-22,136.0,138.86,122.8,131.37,64000
2023-06-23,129.78,131.93,127.25,128.63,122800
2023-06-26,128.63,132.58,128.63,129.93,24100
2023-06-27,129.77,134.61,129.77,132.7,30600
2023-06-28,132.67,135.97,131.15,133.99,17500
2023-06-29,134.94,139.31,134.94,136.88,29700
2023-06-30,138.18,138.18,133.35,134.01,28000
2023-07-03,134.01,136.73,134.01,135.03,8000
2023-07-05,135.64,135.64,129.44,130.08,54200
2023-07-06,127.24,131.03,126.26,130.66,84400
2023-07-07,134.32,136.2,132.83,133.92,21700
