Date,Open,High,Low,Close,Volume
2023-01-13,269.88,276.19,269.88,275.46,178400
2023-01-17,276.1,276.88,272.29,273.34,162900
2023-01-18,273.97,275.77,270.99,271.73,226800
2023-01-19,270.74,272.94,261.85,262.28,212500
2023-01-20,263.38,271.1,261.25,270.95,236800
2023-01-23,272.58,276.08,271.78,274.0,251600
2023-01-24,271.37,275.4,270.04,275.0,201700
2023-01-25,272.69,273.62,269.58,272.45,198500
2023-01-26,274.68,276.85,271.17,275.72,174400
2023-01-27,276.02,282.86,275.82,282.23,234500
2023-01-30,279.97,283.11,274.89,275.5,190500
2023-01-31,275.97,287.8,274.61,287.37,299700
2023-02-01,285.83,301.71,285.49,300.37,438600
2023-02-02,304.54,318.87,302.56,316.64,552600
2023-02-03,311.24,319.84,311.0,314.18,249800
2023-02-06,312.0,314.08,303.11,305.12,308400
2023-02-07,302.61,302.94,292.34,296.87,690000
2023-02-08,295.31,299.93,294.17,294.41,247900
2023-02-09,295.72,298.88,294.67,295.2,251900
2023-02-10,293.28,296.86,292.36,294.43,168400
2023-02-13,295.02,300.69,295.0,299.29,214800
2023-02-14,298.25,302.99,295.7,301.54,209800
2023-02-15,300.43,308.76,298.29,307.62,473300
2023-02-16,313.5,343.85,310.03,324.1,957500
2023-02-17,324.51,326.07,315.15,323.94,370200
2023-02-21,318.56,319.38,305.63,306.3,398600
2023-02-22,307.48,308.44,303.16,305.44,296300
2023-02-23,306.24,307.96,300.57,304.96,350600
2023-02-24,301.26,303.5,298.09,300.22,373800
2023-02-27,303.87,309.89,303.35,304.99,195200
2023-02-28,304.87,308.06,303.18,304.71,283900
2023-03-01,304.67,307.95,301.15,302.18,268000
2023-03-02,301.54,308.86,299.65,308.45,233400
2023-03-03,310.53,314.44,307.38,314.03,199400
2023-03-06,313.76,315.99,308.58,309.51,242200
2023-03-07,309.12,311.49,304.73,304.9,181800
2023-03-08,304.74,308.61,303.94,306.73,130300
2023-03-09,307.11,308.35,300.7,302.1,219600
2023-03-10,302.05,302.05,290.29,293.04,301800
2023-03-13,289.8,295.58,284.05,294.15,306800
2023-03-14,299.57,302.48,293.02,298.0,322500
2023-03-15,293.8,303.75,291.91,300.45,609100
2023-03-16,296.84,304.51,295.14,302.52,261300
2023-03-17,301.91,301.91,293.26,295.8,728300
2023-03-20,297.4,302.08,295.7,300.2,249000
2023-03-21,303.46,304.99,299.66,303.5,207300
2023-03-22,302.47,304.52,293.87,294.35,194700
2023-03-23,294.64,301.34,293.36,294.99,189800
2023-03-24,294.35,299.93,290.74,299.63,203300
2023-03-27,301.33,308.36,300.19,306.57,326000
2023-03-28,305.34,314.62,305.34,312.89,419200
2023-03-29,316.2,318.6,314.18,316.6,269800
2023-03-30,318.95,319.63,312.66,315.25,251700
2023-03-31,316.58,319.61,315.69,318.16,238500
2023-04-03,316.8,320.32,314.21,320.2,476200
2023-04-04,322.23,322.23,306.98,310.65,277200
2023-04-05,308.9,311.77,302.75,307.31,618400
2023-04-06,305.63,307.89,301.56,301.84,274300
2023-04-10,299.56,307.53,298.79,306.78,309100
2023-04-11,306.89,316.44,306.89,310.58,281700
2023-04-12,313.27,317.49,311.57,313.51,316200
2023-04-13,313.82,318.3,309.17,315.75,277100
2023-04-14,312.67,315.0,310.62,311.97,271100
2023-04-17,313.82,316.33,310.2,311.92,328400
2023-04-18,315.55,318.92,313.27,318.51,480800
2023-04-19,319.29,321.38,314.87,316.58,552200
2023-04-20,349.0,356.6,326.83,342.93,946100
2023-04-21,344.66,345.11,336.76,338.42,442700
2023-04-24,339.83,344.28,336.0,338.64,276300
2023-04-25,338.33,346.47,335.68,346.18,405700
2023-04-26,342.53,345.21,336.14,337.48,270700
2023-04-27,340.89,349.81,338.42,349.68,335600
2023-04-28,349.98,350.34,344.71,346.38,341600
