Date,Open,High,Low,Close,Volume
2023-01-13,5.7,5.81,5.7,5.76,546100
2023-01-17,5.79,5.84,5.73,5.79,498100
2023-01-18,5.82,5.9,5.78,5.82,501300
2023-01-19,5.8,5.81,5.65,5.78,709100
2023-01-20,5.82,5.82,5.71,5.75,688900
2023-01-23,5.7,5.77,5.66,5.7,450500
2023-01-24,5.7,5.7,5.6,5.63,410800
2023-01-25,5.58,5.63,5.57,5.6,497100
2023-01-26,5.6,5.62,5.52,5.6,800200
2023-01-27,5.61,5.65,5.52,5.59,2844400
2023-01-30,5.55,5.59,5.52,5.58,2275700
2023-01-31,5.58,5.81,5.56,5.76,5290800
2023-02-01,5.76,5.9,5.73,5.79,1801200
2023-02-02,5.82,6.01,5.79,5.91,1295900
2023-02-03,5.84,5.91,5.57,5.83,1704800
2023-02-06,5.77,5.83,5.7,5.77,881200
2023-02-07,5.75,5.84,5.73,5.84,971700
2023-02-08,5.78,5.92,5.77,5.88,678800
2023-02-09,5.95,5.98,5.92,5.96,557500
2023-02-10,5.95,6.04,5.92,6.02,3380100
2023-02-13,6.0,6.18,5.98,6.16,1265200
2023-02-14,6.11,6.12,6.02,6.07,1593600
2023-02-15,6.06,6.16,6.01,6.16,1075500
2023-02-16,6.09,6.25,6.04,6.21,3058700
2023-02-17,6.23,6.3,6.18,6.29,2754600
2023-02-21,6.26,6.26,6.08,6.11,1587100
2023-02-22,6.1,6.14,6.06,6.08,1602800
2023-02-23,6.11,6.16,6.01,6.07,1790300
2023-02-24,5.99,6.08,5.95,6.08,1085700
2023-02-27,6.1,6.14,5.95,5.95,663900
2023-02-28,5.93,6.01,5.93,5.97,984400
2023-03-01,5.92,6.04,5.89,6.0,1471700
2023-03-02,5.98,6.0,5.95,5.97,865500
2023-03-03,6.0,6.0,5.94,5.96,696400
2023-03-06,5.95,5.99,5.89,5.9,1025100
2023-03-07,5.9,5.91,5.81,5.82,1126900
2023-03-08,5.83,5.88,5.8,5.87,1071200
2023-03-09,5.89,5.96,5.82,5.9,1276800
2023-03-10,5.87,5.94,5.77,5.8,1267100
2023-03-13,5.71,5.78,5.64,5.65,1714400
2023-03-14,5.83,5.83,5.73,5.75,1076300
2023-03-15,5.61,5.71,5.59,5.7,1327000
2023-03-16,5.64,5.77,5.62,5.72,1127400
2023-03-17,5.66,5.69,5.53,5.62,3590300
2023-03-20,5.64,5.72,5.63,5.67,968500
2023-03-21,5.75,5.88,5.72,5.78,1599300
2023-03-22,5.77,5.82,5.68,5.69,997100
2023-03-23,5.69,5.73,5.66,5.69,742900
2023-03-24,5.65,5.83,5.6,5.81,727800
2023-03-27,5.91,5.91,5.77,5.81,900300
2023-03-28,5.77,5.82,5.74,5.76,435000
2023-03-29,5.76,5.77,5.67,5.77,978600
2023-03-30,5.8,5.84,5.75,5.79,471000
2023-03-31,5.82,5.86,5.79,5.86,870100
2023-04-03,5.84,5.89,5.77,5.83,1153000
2023-04-04,5.88,5.93,5.82,5.9,1371200
2023-04-05,5.85,5.87,5.82,5.86,922200
2023-04-06,5.9,5.97,5.86,5.95,1159100
2023-04-10,5.91,5.98,5.9,5.92,617400
2023-04-11,6.02,6.27,6.01,6.1,2591200
2023-04-12,6.18,6.3,6.16,6.25,1526800
2023-04-13,6.3,6.34,6.23,6.33,960300
2023-04-14,6.34,6.42,6.28,6.42,1418600
2023-04-17,6.45,6.5,6.37,6.43,1210300
2023-04-18,6.46,6.54,6.42,6.47,1802800
2023-04-19,6.45,6.5,6.4,6.45,1328100
2023-04-20,6.44,6.54,6.39,6.54,784700
2023-04-21,6.54,6.55,6.42,6.49,763600
2023-04-24,6.45,6.49,6.39,6.41,1202400
2023-04-25,6.37,6.42,6.25,6.25,1080500
2023-04-26,6.2,6.27,6.17,6.18,1292300
2023-04-27,6.2,6.26,6.14,6.16,1753400
2023-04-28,6.54,6.54,6.17,6.24,1716700
2023-05-01,6.25,6.3,6.09,6.11,1143800
2023-05-02,6.11,6.25,6.05,6.2,1909500
2023-05-03,6.23,6.34,6.21,6.29,1585200
2023-05-04,6.24,6.37,6.23,6.37,1229400
2023-05-05,6.43,6.56,6.39,6.55,1059000
2023-05-08,6.56,6.58,6.5,6.53,1083300
2023-05-09,6.48,6.68,6.48,6.64,1111500
2023-05-10,6.71,6.72,6.55,6.57,1204500
2023-05-11,6.69,7.26,6.66,7.01,5915800
2023-05-12,7.02,7.07,6.96,7.0,1684700
2023-05-15,7.12,7.17,6.99,7.02,1458600
2023-05-16,7.03,7.03,6.95,7.01,1051000
2023-05-17,7.06,7.07,6.98,6.99,1064200
2023-05-18,6.99,7.08,6.98,7.02,1591200
