Date,Open,High,Low,Close,Volume
2023-01-13,27.71,28.62,27.1,28.3,331300
2023-01-17,28.24,28.56,27.73,28.28,222500
2023-01-18,28.47,29.12,28.184,28.26,275400
2023-01-19,28.14,29.2,27.71,28.94,348900
2023-01-20,29.24,29.24,28.44,28.83,469600
2023-01-23,28.67,30.5,28.4,30.25,405700
2023-01-24,30.21,32.4,29.27,31.87,373500
2023-01-25,31.64,32.7,30.61,32.59,293600
2023-01-26,32.83,33.06,31.22,31.78,404600
2023-01-27,31.82,32.72,31.82,32.5,259400
2023-01-30,32.49,33.1,31.38,31.7,384100
2023-01-31,32.43,33.03,31.93,32.92,502900
2023-02-01,32.94,34.49,32.49,34.2,498400
2023-02-02,34.29,35.17,34.07,35.14,515800
2023-02-03,34.9,36.7,34.86,36.49,607600
2023-02-06,36.56,38.2,36.195,36.62,445400
2023-02-07,36.55,36.97,35.285,35.72,414200
2023-02-08,35.65,36.16,35.21,35.69,370500
2023-02-09,36.01,37.13,35.8,36.23,372400
2023-02-10,36.2,37.145,35.57,36.95,380600
2023-02-13,37.09,38.08,35.93,36.02,500400
2023-02-14,35.77,36.66,35.43,35.88,302800
2023-02-15,35.68,35.97,35.19,35.25,414100
2023-02-16,34.82,35.36,34.38,34.85,333300
2023-02-17,34.99,35.7,34.75,35.41,279900
2023-02-21,35.11,35.48,34.025,34.14,440500
2023-02-22,34.16,34.88,33.72,34.23,331300
2023-02-23,34.49,34.89,33.58,34.18,256300
2023-02-24,34.12,34.2,32.93,33.13,409400
2023-02-27,33.3,33.3,32.75,32.87,381000
2023-02-28,32.8,33.375,32.06,32.13,553000
2023-03-01,32.13,32.59,31.66,32.53,291700
2023-03-02,32.27,32.395,31.21,31.43,312800
2023-03-03,31.59,32.36,31.15,31.93,267400
2023-03-06,32.0,32.0,31.19,31.89,404200
2023-03-07,31.8,32.0,30.71,30.73,377200
2023-03-08,30.82,30.98,30.375,30.58,314900
2023-03-09,30.57,30.755,29.25,29.47,494300
2023-03-10,29.37,29.42,26.62,26.99,751400
2023-03-13,26.74,28.64,26.59,28.41,762100
2023-03-14,28.75,28.8,27.51,28.27,452100
2023-03-15,27.86,28.49,27.31,28.2,378200
2023-03-16,27.95,28.68,27.24,28.33,340200
2023-03-17,28.18,28.5,27.37,28.05,905000
2023-03-20,28.12,28.81,27.93,28.73,283400
2023-03-21,28.93,29.07,28.29,28.46,251400
2023-03-22,28.31,28.31,26.83,26.86,396600
2023-03-23,27.14,27.835,26.965,27.71,315200
2023-03-24,27.52,28.16,26.86,27.98,289200
2023-03-27,28.0,28.69,27.81,28.12,268800
2023-03-28,27.97,28.49,27.72,27.86,204900
2023-03-29,28.21,28.6,27.8,28.03,304500
2023-03-30,28.07,28.185,26.9,27.4,388600
2023-03-31,27.5,28.24,27.5,27.89,342200
2023-04-03,27.74,28.42,27.49,28.37,251400
2023-04-04,28.34,28.485,27.515,27.85,286400
2023-04-05,27.82,28.48,27.82,28.31,217800
2023-04-06,28.44,28.97,28.095,28.86,207700
2023-04-10,28.66,28.89,27.92,28.67,439400
2023-04-11,28.67,28.94,28.445,28.55,398100
2023-04-12,28.76,28.76,28.02,28.11,167500
2023-04-13,28.24,29.73,28.17,29.05,325700
2023-04-14,29.01,29.47,28.58,29.22,254800
2023-04-17,29.41,30.21,29.28,29.9,335100
2023-04-18,30.05,30.2,28.44,28.5,268800
2023-04-19,28.32,28.53,27.87,28.25,257500
2023-04-20,28.11,28.72,27.9,28.35,243900
2023-04-21,28.26,28.88,28.24,28.79,212200
2023-04-24,28.75,28.75,28.01,28.36,235900
2023-04-25,28.18,28.465,27.7,28.08,188400
2023-04-26,27.94,28.17,26.81,26.9,208900
2023-04-27,26.88,26.88,26.345,26.45,293600
2023-04-28,26.45,27.02,26.27,26.44,256400
2023-05-01,26.44,27.37,26.26,27.07,222800
2023-05-02,26.9,26.94,26.14,26.42,339800
2023-05-03,26.6,27.43,26.36,27.13,435700
2023-05-04,26.95,27.75,26.77,27.64,257100
2023-05-05,27.88,27.88,27.25,27.42,233700
