Date,Open,High,Low,Close,Volume
2023-01-13,70.11,73.28,69.728,73.04,174900
2023-01-17,72.67,73.18,70.79,72.56,120000
2023-01-18,73.44,74.53,70.65,72.15,184200
2023-01-19,71.65,71.79,69.18,70.22,155600
2023-01-20,71.08,72.59,69.595,71.61,152000
2023-01-23,72.11,73.79,70.9,73.56,132400
2023-01-24,73.04,75.385,72.81,74.85,95400
2023-01-25,73.93,75.74,72.57,75.5,99800
2023-01-26,76.76,77.83,74.75,75.79,95400
2023-01-27,75.31,76.95,73.66,75.16,144900
2023-01-30,74.79,76.89,74.666,75.29,177200
2023-01-31,75.44,77.82,75.43,76.07,143300
2023-02-01,76.51,79.71,75.08,78.81,155800
2023-02-02,78.93,79.93,76.42,78.47,185800
2023-02-03,77.45,79.95,75.01,78.49,211000
2023-02-06,78.34,79.02,77.54,78.41,168400
2023-02-07,77.88,78.545,76.56,77.84,146400
2023-02-08,77.16,78.0,75.9,76.08,72400
2023-02-09,77.01,77.83,75.56,75.92,85400
2023-02-10,75.51,76.245,74.96,75.49,99100
2023-02-13,75.79,78.17,74.82,77.83,69700
2023-02-14,77.47,79.525,76.09,77.69,74800
2023-02-15,76.98,81.573,76.98,80.18,177200
2023-02-16,79.11,81.4,78.85,79.42,163400
2023-02-17,79.02,80.69,78.31,80.69,108800
2023-02-21,79.78,80.65,77.605,78.04,101600
2023-02-22,78.47,79.77,77.04,78.97,154100
2023-02-23,79.0,80.8,77.65,79.48,158700
2023-02-24,78.24,78.285,75.78,77.435,114200
2023-02-27,78.5,79.28,76.27,77.24,234600
2023-02-28,65.53,70.54,59.0,66.81,1384200
2023-03-01,66.75,67.355,64.32,65.7,255800
2023-03-02,64.93,65.65,62.88,65.06,163500
2023-03-03,65.99,67.14,63.79,66.95,186400
2023-03-06,67.17,68.54,66.265,66.47,189300
2023-03-07,66.51,68.085,65.32,67.28,173000
2023-03-08,67.33,68.65,65.97,67.71,141600
2023-03-09,67.85,69.0,64.94,65.16,170900
2023-03-10,65.16,65.16,63.3,64.37,167300
2023-03-13,62.9,65.0,62.845,64.5,157000
2023-03-14,66.54,66.55,64.182,65.2,165800
2023-03-15,63.59,65.43,62.94,64.86,128400
2023-03-16,63.93,67.23,63.89,65.84,95300
2023-03-17,64.98,65.84,64.35,64.5,289900
2023-03-20,64.99,65.64,63.69,63.99,125300
2023-03-21,64.91,66.33,64.31,65.29,104600
2023-03-22,65.19,65.51,63.06,63.26,130300
2023-03-23,63.83,64.125,62.18,63.04,171700
2023-03-24,62.54,63.53,61.44,62.97,226900
2023-03-27,63.36,64.83,62.755,64.66,82700
