Date,Open,High,Low,Close,Volume
2023-01-13,43.65,45.63,43.65,44.98,1278700
2023-01-17,44.49,45.51,44.35,45.21,1231700
2023-01-18,43.56,44.23,40.44,41.83,4044600
2023-01-19,41.13,42.2,40.92,41.96,1484600
2023-01-20,42.19,43.2,41.97,42.93,1195900
2023-01-23,43.19,44.32,42.57,44.01,1107500
2023-01-24,42.75,43.94,42.17,42.82,774900
2023-01-25,42.1,43.07,41.58,42.94,1041100
2023-01-26,43.91,44.23,43.04,44.1,1246000
2023-01-27,43.87,45.03,43.61,44.64,1133800
2023-01-30,43.96,45.25,43.73,43.73,871700
2023-01-31,43.88,44.78,43.88,44.76,736100
2023-02-01,44.78,46.69,44.31,46.26,1222300
2023-02-02,47.0,49.02,46.91,48.25,950300
2023-02-03,46.78,48.53,46.21,47.6,1094600
2023-02-06,46.7,47.27,46.1,46.25,878700
2023-02-07,43.64,44.73,42.55,44.63,2428100
2023-02-08,44.22,44.57,43.18,43.52,1592600
2023-02-09,44.04,44.28,41.33,41.35,1317400
2023-02-10,40.74,41.02,39.61,40.78,1440700
2023-02-13,41.11,42.85,40.7,42.6,1197600
2023-02-14,42.11,43.42,41.73,43.14,829400
2023-02-15,42.63,44.22,42.39,44.12,708800
2023-02-16,43.15,43.49,40.91,40.95,1423900
2023-02-17,40.59,41.86,40.37,41.67,1642600
2023-02-21,40.83,41.32,38.86,39.54,1971100
2023-02-22,39.98,40.19,39.0,39.74,1883600
2023-02-23,35.0,39.93,34.8,39.31,5917200
2023-02-24,38.25,38.6,37.54,38.33,1786100
2023-02-27,38.81,39.37,38.42,38.91,1238000
2023-02-28,38.89,39.34,38.45,38.98,1820000
2023-03-01,39.3,39.3,37.79,37.94,1345800
2023-03-02,37.23,38.72,37.0,38.39,1084500
2023-03-03,39.31,39.75,39.17,39.47,1233400
2023-03-06,39.7,39.7,38.32,38.51,1086200
2023-03-07,38.38,39.43,38.2,38.78,885400
2023-03-08,38.78,38.92,38.09,38.78,772600
2023-03-09,38.8,38.92,37.6,37.67,1234300
2023-03-10,37.33,37.88,36.64,37.24,2626500
2023-03-13,36.49,38.3,36.28,37.87,1874000
2023-03-14,39.0,39.18,37.68,38.19,946600
2023-03-15,37.5,38.78,36.93,38.67,1238600
2023-03-16,38.29,39.23,37.95,38.57,895600
2023-03-17,38.58,38.73,38.01,38.5,1017500
2023-03-20,38.45,39.36,38.07,38.49,1004600
2023-03-21,39.09,40.07,38.99,39.41,709200
2023-03-22,39.38,40.31,38.87,38.88,1030000
2023-03-23,39.39,40.06,38.85,39.54,774900
2023-03-24,38.98,39.27,38.5,39.11,761900
2023-03-27,39.41,39.6,38.44,38.62,865400
2023-03-28,38.59,38.97,38.36,38.79,526200
2023-03-29,39.19,39.5,38.53,38.94,623500
2023-03-30,39.35,39.6,38.8,38.99,518400
2023-03-31,39.3,40.09,39.06,40.0,861100
2023-04-03,39.78,40.17,39.32,40.08,630800
2023-04-04,40.29,40.43,38.93,39.25,542900
2023-04-05,38.7,38.79,37.87,37.93,744200
2023-04-06,37.65,37.96,37.27,37.38,860900
2023-04-10,37.18,38.0,36.89,37.86,855900
2023-04-11,38.05,39.45,38.02,39.04,968300
2023-04-12,39.68,39.73,38.45,39.16,1163200
2023-04-13,39.41,39.93,38.89,39.45,1040200
2023-04-14,39.64,39.99,39.38,39.58,697800
2023-04-17,39.54,39.73,39.05,39.09,668400
2023-04-18,39.58,39.62,38.34,38.56,767900
2023-04-19,38.27,38.89,38.13,38.76,628200
2023-04-20,38.29,39.24,38.29,38.55,586200
2023-04-21,38.53,39.29,38.42,39.23,692100
2023-04-24,39.32,39.7,38.8,38.88,566400
2023-04-25,38.56,39.25,38.45,38.46,855400
2023-04-26,38.45,39.38,38.03,38.33,1104000
2023-04-27,38.56,39.25,37.99,39.1,1079000
2023-04-28,39.09,39.88,38.87,39.45,510800
2023-05-01,39.21,41.22,39.19,40.92,1499200
2023-05-02,40.77,42.46,40.58,42.0,2140800
2023-05-03,41.98,43.6,41.9,42.71,1739300
2023-05-04,43.13,43.97,42.62,42.84,1433300
2023-05-05,43.6,43.82,42.81,43.49,699100
2023-05-08,43.69,44.25,43.42,43.89,812200
2023-05-09,43.41,43.7,43.0,43.04,947600
2023-05-10,43.61,43.82,42.44,43.07,1480900
2023-05-11,45.11,45.32,41.74,43.18,2284200
2023-05-12,43.15,43.38,40.45,40.84,1672800
2023-05-15,40.67,41.82,40.55,41.77,1024100
2023-05-16,41.24,41.64,40.5,40.67,759100
2023-05-17,40.63,41.47,40.11,40.86,935100
2023-05-18,40.79,40.87,39.91,40.53,850900
2023-05-19,40.64,40.67,39.25,39.33,1244500
2023-05-22,39.12,39.3,38.77,38.85,1056400
2023-05-23,38.5,39.14,38.13,38.14,904600
2023-05-24,38.13,38.3,37.57,37.75,1024300
2023-05-25,37.85,37.97,36.63,36.86,852600
2023-05-26,36.49,37.16,35.72,36.51,1234600
2023-05-30,36.83,36.98,36.4,36.82,876800
2023-05-31,36.59,36.81,35.95,36.57,1557400
2023-06-01,36.5,36.65,35.45,35.5,1223400
2023-06-02,36.08,37.02,35.86,36.96,965600
2023-06-05,36.53,36.84,35.48,35.5,1075900
2023-06-06,35.5,37.56,35.38,37.4,945800
2023-06-07,37.71,38.39,37.32,38.05,1106100
2023-06-08,38.08,38.39,37.2,37.59,1146200
2023-06-09,37.95,37.95,35.68,35.89,971000
2023-06-12,36.31,36.53,35.38,36.2,907300
2023-06-13,36.49,36.93,36.03,36.74,1114400
2023-06-14,36.81,37.73,36.52,36.99,1078400
2023-06-15,36.42,36.73,35.33,35.89,1261300
2023-06-16,36.06,36.07,34.74,35.09,1333900
2023-06-20,35.07,35.57,34.7,35.51,1070100
2023-06-21,35.39,35.9,35.19,35.86,1286000
2023-06-22,35.96,36.56,35.56,36.5,1261900
2023-06-23,35.83,36.45,35.48,35.9,2671600
2023-06-26,36.02,37.64,35.94,37.61,1603700
2023-06-27,37.97,38.84,37.47,38.41,1130900
2023-06-28,38.29,38.4,37.83,38.31,1100200
2023-06-29,38.23,39.35,38.04,38.74,1000300
2023-06-30,38.96,39.19,38.32,38.84,650300
2023-07-03,38.87,39.21,38.79,38.85,372700
2023-07-05,38.65,38.85,37.95,38.5,1249200
2023-07-06,38.03,38.51,37.76,38.5,1816800
2023-07-07,38.41,39.0,38.11,38.3,1183400
2023-07-10,38.3,38.71,37.99,38.26,791500
2023-07-11,38.43,40.14,38.43,39.93,1277300
2023-07-12,40.51,42.48,40.14,42.28,2006400
2023-07-13,42.47,42.47,41.88,42.2,784000
2023-07-14,42.14,42.61,41.77,42.59,1071000
2023-07-17,40.48,40.68,39.78,39.81,2475500
2023-07-18,39.52,40.7,38.84,39.08,1565500
2023-07-19,39.39,41.06,39.39,40.89,2125900
2023-07-20,41.06,41.76,40.61,40.85,1159300
2023-07-21,41.45,41.74,40.92,41.29,812400
2023-07-24,41.49,42.04,41.19,41.38,1029000
2023-07-25,41.63,41.94,41.44,41.5,684300
2023-07-26,41.53,42.32,41.42,42.3,964600
2023-07-27,42.48,42.93,41.21,41.33,1483000
2023-07-28,41.71,42.4,41.59,42.06,884700
2023-07-31,42.2,42.85,41.97,42.6,837300
2023-08-01,42.13,42.3,41.43,41.83,792100
2023-08-02,41.11,41.12,40.1,40.53,805200
2023-08-03,40.52,41.39,40.46,40.9,853400
2023-08-04,41.18,41.83,40.62,41.29,597500
2023-08-07,41.66,42.1,41.4,41.71,1042400
2023-08-08,41.17,41.29,39.96,40.12,1257200
2023-08-09,40.12,40.29,39.46,39.56,1498900
2023-08-10,45.49,48.93,44.89,46.42,7540800
2023-08-11,46.53,46.88,44.38,44.9,2372100
2023-08-14,44.79,45.11,44.32,44.94,1459800
2023-08-15,44.88,46.03,44.07,45.75,1700300
2023-08-16,46.23,47.28,45.94,46.72,2331700
2023-08-17,47.0,47.19,44.35,44.82,1700400
2023-08-18,44.54,45.66,44.4,45.45,1186800
2023-08-21,45.45,46.49,45.42,46.32,1085900
2023-08-22,46.0,46.77,45.5,46.71,1323800
2023-08-23,45.92,47.99,45.71,47.8,1125900
2023-08-24,47.6,47.71,45.71,46.03,1189400
2023-08-25,46.37,46.82,45.34,46.65,986900
2023-08-28,46.58,47.28,46.06,46.88,912100
2023-08-29,46.88,48.52,46.6,48.15,1202900
2023-08-30,48.08,49.23,47.56,48.58,1112300
2023-08-31,48.47,50.03,48.17,49.95,1799300
2023-09-01,50.22,51.27,49.65,50.89,1586100
2023-09-05,50.55,50.7,49.51,49.72,1285200
2023-09-06,49.72,50.01,47.95,48.45,1658300
2023-09-07,48.19,48.5,47.48,47.79,820100
2023-09-08,47.94,48.2,47.28,47.29,631400
2023-09-11,47.45,47.7,46.67,46.92,1000200
2023-09-12,46.55,47.2,46.38,46.55,959500
2023-09-13,46.5,47.59,46.45,46.82,906700
2023-09-14,47.1,48.38,47.1,48.04,1179400
2023-09-15,47.76,47.98,47.24,47.67,1398800
2023-09-18,47.6,48.78,47.25,48.32,1349900
2023-09-19,48.08,48.87,47.81,48.42,1288300
2023-09-20,48.62,49.87,48.61,49.55,1570300
2023-09-21,48.84,49.1,47.74,47.8,1540200
2023-09-22,48.11,48.3,47.37,47.4,927800
2023-09-25,47.1,47.62,46.64,47.51,1043600
2023-09-26,47.14,47.6,46.42,46.44,808500
2023-09-27,46.12,46.79,45.39,46.03,1732100
2023-09-28,46.47,47.96,45.8,47.62,913800
2023-09-29,48.74,49.44,47.86,48.22,875000
2023-10-02,48.0,48.06,46.07,46.21,1508300
2023-10-03,46.01,46.14,44.08,44.23,1873000
2023-10-04,43.99,44.56,43.69,44.27,2065900
2023-10-05,43.02,43.23,40.04,40.07,3141800
