Date,Open,High,Low,Close,Volume
2023-01-13,22.53,22.71,22.17,22.43,967900
2023-01-17,22.42,22.48,22.06,22.1,1343100
2023-01-18,22.18,22.25,21.41,21.42,1356600
2023-01-19,21.25,21.28,20.3,20.44,5326900
2023-01-20,20.52,20.81,20.1,20.81,4361500
2023-01-23,21.0,21.39,20.83,21.35,3076500
2023-01-24,21.48,21.58,21.06,21.35,2434600
2023-01-25,21.1,21.21,20.76,21.21,1583400
2023-01-26,21.4,21.81,21.07,21.81,1972400
2023-01-27,21.63,21.75,21.38,21.49,1316900
2023-01-30,21.36,21.58,20.79,20.83,1432500
2023-01-31,21.02,21.89,21.02,21.86,2083600
2023-02-01,21.78,22.4,21.6,22.11,1091600
2023-02-02,22.41,22.96,22.24,22.72,1353500
2023-02-03,22.47,22.99,22.43,22.52,1329100
2023-02-06,22.21,22.37,21.9,22.3,1236700
2023-02-07,22.17,22.56,22.07,22.37,2024500
2023-02-08,25.1,25.1,23.57,24.09,4484900
2023-02-09,24.44,24.57,23.6,23.78,2363500
2023-02-10,23.49,23.6,22.99,23.25,1394100
2023-02-13,23.22,23.56,23.17,23.5,944700
2023-02-14,23.23,24.1,23.12,23.89,2095000
2023-02-15,23.81,24.4,23.69,24.38,1415900
2023-02-16,23.97,24.1,23.47,23.53,1029700
2023-02-17,23.53,23.53,23.06,23.36,764700
2023-02-21,23.02,23.13,22.45,22.75,1263100
2023-02-22,22.76,23.14,22.5,22.96,1344800
2023-02-23,23.16,23.3,22.6,23.11,1560400
2023-02-24,22.61,23.0,22.49,22.97,1644200
2023-02-27,23.28,23.38,22.91,23.01,1066100
2023-02-28,23.1,23.39,22.99,23.0,1226700
2023-03-01,22.87,22.91,22.37,22.4,1323800
2023-03-02,22.13,23.17,21.98,23.07,1267300
2023-03-03,23.37,23.38,22.97,23.11,862900
2023-03-06,23.17,23.24,22.54,22.56,719900
2023-03-07,22.63,22.7,22.41,22.5,946400
2023-03-08,22.51,22.73,22.44,22.69,749300
2023-03-09,22.78,22.95,22.25,22.3,1181000
2023-03-10,22.18,22.25,21.23,21.31,1717200
2023-03-13,21.0,21.59,20.91,21.07,1581400
2023-03-14,21.56,21.73,20.9,21.38,1440900
2023-03-15,20.91,21.11,20.54,20.98,1605400
2023-03-16,20.69,21.14,20.59,20.97,1513600
2023-03-17,20.89,20.89,20.25,20.53,2747300
2023-03-20,20.71,21.14,20.69,20.83,1127000
2023-03-21,21.17,21.49,20.99,21.18,1020200
2023-03-22,21.13,21.22,20.25,20.27,1415600
2023-03-23,20.29,20.6,19.65,19.79,1157700
2023-03-24,19.48,19.86,19.29,19.85,1212600
2023-03-27,20.2,20.42,19.97,20.36,1530500
2023-03-28,20.28,20.69,20.2,20.38,1564700
2023-03-29,20.64,20.97,20.55,20.88,1320200
2023-03-30,21.12,21.13,20.81,20.91,639000
2023-03-31,21.08,21.38,21.05,21.36,881500
2023-04-03,21.48,21.58,21.07,21.44,757500
2023-04-04,21.49,21.5,20.53,20.61,1194400
2023-04-05,20.36,20.45,19.95,20.22,1005700
2023-04-06,20.31,20.38,19.83,20.09,1543900
2023-04-10,20.03,20.63,20.03,20.47,1157700
2023-04-11,20.58,21.02,20.51,20.81,1224700
2023-04-12,20.98,21.14,20.56,20.58,637700
2023-04-13,20.51,21.02,20.36,20.91,731900
2023-04-14,20.68,21.15,20.45,20.59,863100
2023-04-17,20.77,21.04,20.64,20.9,1121600
2023-04-18,21.01,21.19,20.73,20.9,1085300
2023-04-19,20.78,21.19,20.78,21.07,1236200
2023-04-20,20.85,21.08,20.64,20.77,1192600
2023-04-21,20.87,21.01,20.7,20.99,3596800
2023-04-24,20.9,21.48,20.9,21.41,1680900
2023-04-25,21.18,21.57,20.96,20.97,2199400
2023-04-26,21.3,22.18,20.23,20.44,2308400
2023-04-27,20.46,20.98,20.06,20.7,1660200
2023-04-28,20.75,21.75,20.75,21.55,1760400
2023-05-01,21.4,21.86,21.4,21.72,1058500
2023-05-02,21.58,21.67,21.06,21.33,1517700
2023-05-03,21.42,21.95,21.37,21.52,1063900
2023-05-04,21.33,21.48,21.01,21.25,1172900
2023-05-05,21.68,21.92,21.2,21.48,1148000
2023-05-08,21.57,21.68,21.16,21.48,910000
2023-05-09,21.36,21.39,21.11,21.26,822600
2023-05-10,21.5,21.53,21.1,21.35,1432800
2023-05-11,21.11,21.11,20.7,20.91,1022600
2023-05-12,21.01,21.22,20.76,20.97,766400
2023-05-15,21.1,21.56,21.0,21.51,780500
2023-05-16,21.36,21.54,21.1,21.35,1020500
2023-05-17,21.5,22.14,21.44,22.02,1536200
2023-05-18,21.96,22.88,21.93,22.83,1622400
2023-05-19,23.1,23.15,22.35,22.43,1298800
2023-05-22,22.5,22.77,22.39,22.71,1042900
2023-05-23,22.52,22.82,22.27,22.39,1405000
2023-05-24,22.28,22.3,21.78,22.0,1437900
2023-05-25,22.11,22.35,21.84,22.21,1444900
2023-05-26,22.2,22.63,22.2,22.56,1574600
